9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Tatsuki MACHIDA,JPN,8,174.2,90.84,83.36,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4T,,10.3,False,1.86,1,2,2,2,3,1,1,3,2,,12.16
2,4T+SEQ,,8.24,False,-0.14,-3,-1,0,1,0,0,-1,1,0,,8.1
3,3A+3T,,12.6,False,1.86,2,2,2,2,2,1,2,1,2,,14.46
4,FSSp4,,3.0,False,0.64,0,2,0,2,2,1,1,1,2,,3.64
5,StSq3,,3.3,False,0.93,0,2,1,2,2,2,3,2,2,,4.23
6,3A,,9.35,True,2.0,2,2,2,2,3,2,2,2,2,,11.35
7,CCSp2,,2.3,False,0.57,1,1,0,1,1,1,2,1,2,,2.87
8,3Lo,,5.61,True,0.6,1,0,0,1,2,1,1,1,1,,6.21
9,3Lz,,6.6,True,-0.5,-1,0,-1,-1,0,-1,-1,0,-1,,6.1
10,3F+2T+2Lo,e,9.24,True,-0.3,-1,0,-1,-1,0,0,-1,0,0,,8.94
11,3S,,4.62,True,0.7,1,1,2,1,1,1,1,1,1,,5.32
12,ChSq1,,2.0,False,1.1,0,2,1,2,2,1,2,2,1,,3.1
13,CCoSp4,,3.5,False,0.86,0,1,1,2,2,2,2,2,2,,4.36
,,,80.66,,,,,,,,,,,,,90.84
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,8.25,8.25,7.75,9.0,8.5,8.25,8.75,8.5,8.75,,8.46
,Transition / Linking Footwork  ,,,,2.0,7.5,6.75,7.0,8.5,8.5,8.0,8.5,8.0,8.0,,7.93
,Performance / Execution  ,,,,2.0,7.75,8.5,7.5,9.0,9.25,8.5,9.0,8.75,8.5,,8.57
,Choreography / Composition  ,,,,2.0,8.0,7.75,7.75,8.75,8.75,8.5,9.0,8.25,8.5,,8.36
,Interpretation  ,,,,2.0,7.5,8.0,7.75,9.0,8.75,8.5,8.75,8.0,8.75,,8.36
,,,,,,,,,,,,,,,,83.36
