9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Jason BROWN,USA,5,83.78,44.85,38.93,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.5,False,1.14,1,2,1,1,2,1,1,0,1,,9.64
2,3F+3T,,9.4,False,-0.1,1,0,0,0,0,-1,0,-1,0,,9.3
3,FCSp4,,3.2,False,1.0,2,2,2,2,3,2,2,1,2,,4.2
4,CSSp4,,3.0,False,0.71,2,2,1,1,2,2,0,1,1,,3.71
5,3Lz,,6.6,True,1.6,3,3,2,1,3,2,2,2,2,,8.2
6,StSq4,,3.9,False,1.4,2,2,2,1,3,2,2,1,3,,5.3
7,CCoSp4,,3.5,False,1.0,2,3,2,1,3,2,1,2,2,,4.5
,,,38.1,,,,,,,,,,,,,44.85
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,7.75,8.5,7.5,7.0,7.5,7.0,7.75,8.0,7.5,,7.57
,Transition / Linking Footwork  ,,,,1.0,8.25,8.5,7.0,7.25,7.75,7.25,7.75,7.75,7.5,,7.64
,Performance / Execution  ,,,,1.0,8.0,8.75,7.5,7.5,7.75,7.5,8.25,8.0,7.5,,7.79
,Choreography / Composition  ,,,,1.0,8.25,8.5,7.5,7.5,8.0,7.5,8.5,7.75,7.75,,7.89
,Interpretation  ,,,,1.0,8.25,8.75,7.5,7.5,8.25,7.75,8.25,8.25,8.0,,8.04
,,,,,,,,,,,,,,,,38.93
