9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Max AARON,USA,1,75.91,41.37,35.54,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4S,,10.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,7.5
2,3Lz+3T,,10.1,False,0.6,1,1,1,0,1,0,1,2,1,,10.7
3,CCoSp1,,2.0,False,0.07,0,1,1,0,0,0,0,0,0,,2.07
4,3A,,9.35,True,1.71,1,2,2,2,2,1,1,2,2,,11.06
5,FCSp2,,2.3,False,0.29,1,1,1,1,0,1,0,0,0,,2.59
6,StSq3,,3.3,False,0.79,2,2,2,1,1,1,2,1,2,,4.09
7,CSSp4,,3.0,False,0.36,1,1,1,1,0,1,1,0,0,,3.36
,,,40.55,,,,,,,,,,,,,41.37
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,7.25,7.25,7.5,7.5,7.0,7.0,7.0,7.0,7.25,,7.18
,Transition / Linking Footwork  ,,,,1.0,6.25,7.0,7.5,7.25,6.75,6.5,6.5,7.25,7.0,,6.89
,Performance / Execution  ,,,,1.0,7.0,7.25,7.25,7.5,7.0,7.0,7.0,6.75,7.25,,7.11
,Choreography / Composition  ,,,,1.0,7.0,7.25,7.5,7.25,7.0,7.25,6.75,7.0,7.5,,7.18
,Interpretation  ,,,,1.0,7.0,7.5,7.25,7.25,7.25,6.75,6.75,7.25,7.5,,7.18
,,,,,,,,,,,,,,,,35.54
Deduction,Falls,-1.0
