9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
28,FIRUS Liam,CAN,1,55.04,27.47,29.57,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A<,<,6.0,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
2,3Lz,,6.0,False,-1.1,-2,-1,-1,-2,-1,-2,-2,-1,-2,,4.9
3,CSSp2,,2.3,False,0.14,0,0,0,0,1,-1,1,1,0,,2.44
4,CCoSp4,,3.5,False,0.29,1,0,0,0,1,1,1,0,1,,3.79
5,3T+3T,,9.02,True,-2.1,-3,-3,-3,-3,-2,-3,-3,-3,-3,,6.92
6,StSq3,,3.3,False,0.43,2,0,0,1,1,1,1,1,1,,3.73
7,FUSp3,,2.4,False,0.29,1,1,0,0,2,0,1,1,-1,,2.69
,,,32.52,,,,,,,,,,,,,27.47
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,6.25,6.5,6.0,6.0,6.75,5.75,6.0,6.75,5.5,,6.18
,Transitions / Linking Footwork / Movement  ,,,,1.0,6.0,5.75,5.75,5.25,6.75,5.0,6.0,6.5,5.0,,5.75
,Performance / Execution  ,,,,1.0,5.5,6.25,5.75,5.25,6.25,5.5,5.75,6.5,5.25,,5.75
,Choreography / Composition  ,,,,1.0,5.75,5.75,6.0,5.5,6.25,5.75,6.0,6.5,5.75,,5.89
,Interpretation  ,,,,1.0,6.5,6.0,5.75,5.75,7.0,5.25,6.25,6.25,5.5,,6.0
,,,,,,,,,,,,,,,,29.57
Deduction,Falls,-2.0
