9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Madison CHOCK / Evan BATES,USA,29,67.71,34.79,32.92,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,1FS4+kpYYY,,7.0,False,0.5,1,1,1,0,1,1,1,1,1,,7.5
2,2FS4+kpYYY,,7.0,False,0.43,0,1,2,1,1,1,1,0,1,,7.43
3,STw4,,6.0,False,0.86,2,1,2,2,1,2,2,1,2,,6.86
4,NtDiSt3,,6.5,False,1.43,1,1,1,2,-1,2,2,1,2,,7.93
5,RoLi4,,4.0,False,1.07,2,2,2,2,1,3,3,2,2,,5.07
,,,30.5,,,,,,,,,,,,,34.79
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.25,8.25,7.75,8.25,7.5,8.5,8.5,8.25,8.0,,8.07
,Linking Footwork / Movement  ,,,,0.7,7.0,8.0,8.0,7.5,7.5,8.5,8.75,8.25,8.5,,8.04
,Performance  ,,,,0.7,7.25,8.25,7.75,8.25,7.75,8.5,8.75,8.5,8.5,,8.21
,Choreography  ,,,,0.8,7.25,8.0,8.25,8.5,8.0,8.5,8.75,8.5,9.0,,8.36
,Interpretation / Timing  ,,,,1.0,7.25,8.25,8.25,8.25,8.25,8.5,9.0,8.75,8.5,,8.39
,,,,,,,,,,,,,,,,32.92
