9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
20,Zoltan KELEMEN,ROU,8,63.23,34.4,28.83,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.5,False,1.29,1,0,2,1,2,1,1,1,2,,9.79
2,3F+2T,,6.6,False,-0.2,0,-1,0,0,-1,0,0,-1,0,,6.4
3,3Lz,,6.0,False,-0.7,-1,-1,-1,-1,-1,-1,-1,-1,1,,5.3
4,FSSp3,,2.6,False,0.07,0,0,1,0,0,0,0,0,1,,2.67
5,CCSp3,,2.8,False,0.14,1,1,0,0,0,0,0,0,1,,2.94
6,StSq3,,3.3,False,0.07,0,0,1,0,1,0,0,0,0,,3.37
7,CCoSp4,,3.5,False,0.43,1,1,1,1,1,0,1,0,1,,3.93
,,,33.3,,,,,,,,,,,,,34.4
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,5.75,6.0,6.25,6.25,6.25,5.75,6.0,5.75,6.5,,6.04
,Transition / Linking Footwork  ,,,,1.0,5.75,5.5,6.0,6.0,5.5,5.25,5.0,5.25,6.75,,5.61
,Performance / Execution  ,,,,1.0,5.5,5.75,6.25,5.75,6.0,5.5,5.25,5.5,7.0,,5.75
,Choreography / Composition  ,,,,1.0,6.0,5.75,5.75,6.25,6.25,5.0,5.0,5.25,6.75,,5.75
,Interpretation  ,,,,1.0,5.5,5.5,6.0,6.0,6.0,5.0,5.25,5.5,7.0,,5.68
,,,,,,,,,,,,,,,,28.83
