9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Madison CHOCK / Evan BATES,USA,12,70.38,34.96,35.42,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,SlLi4,,4.5,False,1.46,2,3,2,2,2,2,3,3,3,,5.96
2,STw4,,6.6,False,1.2,2,3,2,2,2,2,2,2,2,,7.8
3,1PD3+kpYYN,,5.0,False,1.03,2,2,1,2,1,1,2,2,2,,6.03
4,PSt3+kpYNY,,5.0,False,1.03,2,2,1,2,1,1,2,2,2,,6.03
5,NtMiSt3,,7.1,False,2.04,1,2,2,2,2,1,2,2,2,,9.14
,,,28.2,,,,,,,,,,,,,34.96
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.25,9.5,8.25,9.0,8.5,8.5,8.25,9.0,9.25,,8.68
,Linking Footwork / Movement  ,,,,0.8,7.75,9.25,8.0,8.75,8.5,8.5,8.75,9.25,9.0,,8.68
,Performance  ,,,,0.8,8.25,9.5,8.25,9.25,9.0,8.5,8.5,9.5,9.5,,8.93
,Choreography  ,,,,0.8,8.25,9.5,8.0,9.0,9.0,8.75,9.0,9.5,9.25,,8.96
,Interpretation / Timing  ,,,,0.8,8.0,9.5,8.5,8.75,9.0,9.0,9.0,9.5,9.5,,9.04
,,,,,,,,,,,,,,,,35.42
