9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Joshua FARRIS,USA,21,175.72,91.02,84.7,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.5,False,2.0,3,2,2,2,1,3,3,1,1,,10.5
2,4T,,10.3,False,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,,9.3
3,3F+3T,,9.4,False,0.8,1,1,1,1,1,2,2,1,0,,10.2
4,CSSp4,,3.0,False,1.0,2,2,2,1,2,2,2,2,2,,4.0
5,StSq4,,3.9,False,1.8,3,2,3,2,2,3,3,3,2,,5.7
6,3Lo,,5.61,True,0.6,0,1,0,0,1,2,3,2,0,,6.21
7,3A+2T+2Lo,,12.76,True,0.57,0,1,1,0,0,2,2,0,0,,13.33
8,3Lz+2T,,8.03,True,0.3,1,1,0,0,0,1,2,0,0,,8.33
9,CCoSp3p4,,3.5,False,1.0,2,2,2,2,2,1,2,2,2,,4.5
10,3Lz,,6.6,True,0.6,1,1,1,1,0,1,2,1,0,,7.2
11,3S,,4.62,True,-0.8,-1,-1,-1,-1,-1,-2,-1,3,-2,,3.82
12,ChSq1,,2.0,False,1.8,3,3,2,2,3,2,3,3,2,,3.8
13,FCSp4,,3.2,False,0.93,3,2,2,1,2,2,2,2,1,,4.13
,,,81.42,,,,,,,,,,,,,91.02
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,8.75,8.25,8.25,7.75,7.75,9.0,8.75,8.0,8.0,,8.25
,Transition / Linking Footwork  ,,,,2.0,8.5,8.0,8.5,7.5,7.25,9.0,8.5,8.25,7.75,,8.14
,Performance / Execution  ,,,,2.0,9.5,8.25,8.5,8.0,7.75,9.25,9.0,8.5,8.5,,8.57
,Choreography / Composition  ,,,,2.0,9.5,8.5,9.0,8.25,7.75,9.0,8.75,9.0,8.0,,8.64
,Interpretation  ,,,,2.0,9.75,8.5,9.0,8.5,8.0,9.25,9.0,9.0,8.0,,8.75
,,,,,,,,,,,,,,,,84.7
