9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
21,Chih-I TSAO,TPE,9,55.27,27.06,28.21,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2A,,3.3,False,0.5,1,1,2,1,1,1,0,0,2,,3.8
2,3S+3T,,8.3,False,0.1,0,0,1,0,0,0,1,0,0,,8.4
3,FCSp3,,2.8,False,0.07,0,0,0,1,0,0,-1,1,0,,2.87
4,3Lz,!,6.6,True,-1.9,-3,-3,-2,-2,-3,-3,-3,-3,-2,,4.7
5,StSq3,,3.3,False,0.43,1,0,1,1,0,1,1,1,1,,3.73
6,CSSp4,,3.0,False,-0.3,-2,-1,-1,-1,-1,0,-1,-1,-1,,2.7
7,CCoSp2p1V1,,1.2,False,-0.34,-1,-2,-1,-1,-1,-1,-1,-2,-1,,0.86
,,,28.5,,,,,,,,,,,,,27.06
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,6.0,5.75,5.75,5.75,5.5,6.25,5.5,6.0,5.75,,5.79
,Transition / Linking Footwork  ,,,,1.0,4.75,5.5,5.5,5.5,4.75,5.5,5.5,5.5,5.0,,5.32
,Performance / Execution  ,,,,1.0,5.5,5.75,6.0,5.75,5.5,6.0,6.0,5.75,5.25,,5.75
,Choreography / Composition  ,,,,1.0,5.25,5.5,6.0,6.0,5.5,6.0,6.75,5.5,5.5,,5.71
,Interpretation  ,,,,1.0,5.25,5.75,6.25,5.75,5.25,5.75,6.75,5.5,5.25,,5.64
,,,,,,,,,,,,,,,,28.21
