9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Jeremy TEN,CAN,15,77.09,40.94,36.15,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.5,False,0.14,0,0,0,1,0,0,1,0,0,,8.64
2,3Lz+3T,,10.1,False,0.7,1,2,1,1,1,1,1,1,1,,10.8
3,CSSp4,,3.0,False,0.64,2,1,2,1,0,1,1,2,1,,3.64
4,3F,,5.83,True,0.5,1,1,1,1,0,2,0,0,1,,6.33
5,FCSp3,,2.8,False,0.36,0,1,2,0,0,1,1,1,1,,3.16
6,StSq3,,3.3,False,0.93,3,2,2,0,1,2,2,2,2,,4.23
7,CCoSp3p4,,3.5,False,0.64,1,1,2,1,1,1,1,2,2,,4.14
,,,37.03,,,,,,,,,,,,,40.94
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,8.0,7.0,7.0,7.0,7.0,7.0,7.5,7.25,7.5,,7.18
,Transition / Linking Footwork  ,,,,1.0,8.25,6.75,7.0,6.5,6.5,6.75,7.25,7.0,7.75,,7.0
,Performance / Execution  ,,,,1.0,8.25,6.75,7.25,7.0,7.0,7.0,7.75,7.25,7.75,,7.29
,Choreography / Composition  ,,,,1.0,8.25,7.0,7.0,6.75,6.75,7.25,7.75,7.5,7.75,,7.29
,Interpretation  ,,,,1.0,8.25,7.25,7.25,6.75,7.0,7.0,7.5,8.0,7.75,,7.39
,,,,,,,,,,,,,,,,36.15
