9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Julia LIPNITSKAIA,RUS,11,104.01,44.3,61.71,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2A+3T+2T,,8.7,False,1.3,2,1,2,2,2,2,1,2,2,,10.0
2,3S,,4.2,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.1
3,FCSp4,,3.2,False,0.57,1,1,1,1,0,2,1,1,2,,3.77
4,StSq2,,2.6,False,0.29,0,1,1,1,1,1,0,-1,0,,2.89
5,3Lo,,5.61,True,0.0,0,0,0,0,0,1,0,-1,0,,5.61
6,2A+2T,,5.06,True,0.14,1,1,0,0,0,2,0,0,0,,5.2
7,1F,,0.55,True,0.0,0,0,-1,0,0,0,0,0,0,,0.55
8,3F<<,<<,2.09,True,-0.9,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.19
9,1Lz,,0.66,True,-0.13,-2,0,-3,-2,0,0,-2,-1,-2,,0.53
10,ChSq1,,2.0,False,1.4,2,2,2,2,2,2,3,2,2,,3.4
11,LSp4,,2.7,False,1.36,3,3,2,2,3,3,3,2,3,,4.06
12,CCoSp3p4,,3.5,False,1.5,3,2,3,3,3,3,3,3,3,,5.0
,,,40.87,,,,,,,,,,,,,44.3
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,7.5,8.25,8.0,7.5,8.0,8.25,8.0,7.75,7.75,,7.89
,Transition / Linking Footwork  ,,,,1.6,7.75,7.75,7.5,7.75,8.0,7.5,7.25,7.25,7.5,,7.57
,Performance / Execution  ,,,,1.6,7.25,7.75,7.75,7.25,7.75,7.75,7.75,7.5,7.25,,7.57
,Choreography / Composition  ,,,,1.6,8.0,8.0,8.0,7.25,8.0,8.25,8.0,7.75,7.75,,7.93
,Interpretation  ,,,,1.6,7.25,7.75,7.5,7.25,7.75,8.0,7.75,7.5,7.75,,7.61
,,,,,,,,,,,,,,,,61.71
Deduction,Time violation,-1.0
Deduction,Falls,-1.0
