9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Maxim KOVTUN,RUS,11,157.38,75.02,83.36,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4S,,10.5,False,-3.0,-2,-3,-3,-3,-3,-3,-3,-3,-3,,7.5
2,4T,,10.3,False,1.14,1,1,1,2,2,1,1,0,1,,11.44
3,3T+2T,,5.4,False,0.6,1,1,1,1,1,1,1,0,0,,6.0
4,CSSp3,,2.6,False,0.79,2,1,1,2,1,2,2,2,1,,3.39
5,StSq4,,3.9,False,1.2,2,1,1,2,2,2,1,2,2,,5.1
6,3A+1T,,9.79,True,-1.0,-1,-1,-1,-1,-1,0,-1,-1,-1,,8.79
7,3A,,9.35,True,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,,8.35
8,3Lz,,6.6,True,0.1,1,0,0,0,0,1,0,-1,0,,6.7
9,3S+2T,,6.05,True,0.1,0,0,0,0,1,1,0,-1,0,,6.15
10,ChSq1,,2.0,False,0.7,2,1,1,1,1,1,1,1,1,,2.7
11,2A,,3.63,True,0.07,0,0,0,0,1,1,0,0,0,,3.7
12,FUSp4,,2.9,False,0.29,1,-1,2,0,0,2,0,0,1,,3.19
13,CCoSp2p2,,1.8,False,0.21,1,0,1,0,0,2,0,1,0,,2.01
,,,74.82,,,,,,,,,,,,,75.02
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,8.75,8.0,8.5,8.25,8.25,8.5,9.25,8.25,8.25,,8.39
,Transition / Linking Footwork  ,,,,2.0,8.5,7.5,8.25,8.0,8.0,7.75,9.0,8.0,7.75,,8.04
,Performance / Execution  ,,,,2.0,8.75,8.0,8.5,8.0,8.5,8.25,8.75,8.25,8.0,,8.32
,Choreography / Composition  ,,,,2.0,9.0,7.75,8.5,8.5,8.75,8.5,9.25,8.25,8.25,,8.54
,Interpretation  ,,,,2.0,9.0,7.5,8.25,8.5,8.5,8.25,9.0,8.25,8.0,,8.39
,,,,,,,,,,,,,,,,83.36
Deduction,Falls,-1.0
