9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Alexei BYCHENKO,ISR,3,76.96,43.7,33.26,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.5,False,0.86,1,1,1,1,1,2,0,0,1,,9.36
2,4T,,10.3,False,0.14,0,1,-1,1,0,0,0,-1,1,,10.44
3,CCoSp3p3,,3.0,False,0.5,1,1,0,1,1,1,1,1,1,,3.5
4,3F+3T,,10.34,True,0.6,1,1,1,1,0,2,1,0,1,,10.94
5,FCSp3,,2.8,False,0.21,1,0,1,0,-1,0,1,1,0,,3.01
6,StSq3,,3.3,False,0.71,2,1,1,2,0,1,2,1,2,,4.01
7,CSSp2,,2.3,False,0.14,1,0,0,-1,0,0,0,2,1,,2.44
,,,40.54,,,,,,,,,,,,,43.7
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,7.0,6.5,6.0,6.75,6.5,6.75,7.0,6.5,6.75,,6.68
,Transition / Linking Footwork  ,,,,1.0,6.75,6.25,6.0,6.75,5.75,6.0,6.75,6.25,6.5,,6.36
,Performance / Execution  ,,,,1.0,7.0,6.5,6.25,7.0,6.5,6.5,7.25,6.75,7.0,,6.75
,Choreography / Composition  ,,,,1.0,7.0,6.75,6.5,7.25,6.25,6.75,7.0,6.75,6.75,,6.79
,Interpretation  ,,,,1.0,6.75,6.5,6.25,7.0,6.25,6.75,7.0,6.5,7.25,,6.68
,,,,,,,,,,,,,,,,33.26
