9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Takahiko KOZUKA,JPN,1,152.54,76.82,76.72,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4T<,<,7.2,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,4.2
2,4T+2T,,11.6,False,-1.71,-1,-2,-2,-2,-1,-2,-1,-2,-2,,9.89
3,3A,,8.5,False,1.57,1,1,0,3,2,2,1,2,2,,10.07
4,FSSp4,,3.0,False,0.71,1,0,1,2,2,2,1,1,2,,3.71
5,StSq2,,2.6,False,0.71,2,1,1,2,2,1,1,2,1,,3.31
6,3A+2T,,10.78,True,-1.29,-1,-2,-2,-1,-1,-1,-1,-2,-1,,9.49
7,3Lz+3T<,<,9.9,True,-0.7,-1,-1,-1,0,-1,-1,-1,-1,-1,,9.2
8,3F,,5.83,True,0.6,1,1,0,1,1,1,0,1,1,,6.43
9,3Lo,,5.61,True,0.5,1,1,0,2,1,0,0,1,1,,6.11
10,3S,,4.62,True,0.5,1,0,0,2,1,0,1,1,1,,5.12
11,FCCoSp3p2,,2.5,False,0.36,0,1,0,1,2,1,0,1,1,,2.86
12,ChSq1,,2.0,False,1.0,1,1,1,2,2,2,0,1,2,,3.0
13,CCoSp3p3,,3.0,False,0.43,1,0,1,1,1,1,0,1,2,,3.43
,,,77.14,,,,,,,,,,,,,76.82
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,8.25,7.0,6.25,8.25,8.25,8.25,8.0,8.0,8.5,,8.0
,Transition / Linking Footwork  ,,,,2.0,7.5,7.0,5.5,7.75,8.0,7.5,7.5,7.5,8.25,,7.54
,Performance / Execution  ,,,,2.0,8.0,6.75,6.25,7.75,7.75,7.5,7.75,7.25,8.5,,7.54
,Choreography / Composition  ,,,,2.0,7.75,7.0,6.0,8.5,8.0,7.75,7.75,7.0,8.25,,7.64
,Interpretation  ,,,,2.0,7.5,7.25,6.5,8.0,7.75,7.5,8.0,7.5,8.25,,7.64
,,,,,,,,,,,,,,,,76.72
Deduction,Falls,-1.0
