9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Viveca LINDFORS,FIN,11,53.92,31.41,22.51,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T+3T,,8.6,False,1.2,2,1,2,2,2,1,2,2,1,,9.8
2,3Lz,,6.0,False,-1.4,-2,-3,-2,-2,-2,-2,-2,-2,-2,,4.6
3,FCSp4,,3.2,False,-0.04,0,-1,0,0,0,0,0,-1,0,,3.16
4,StSq3,,3.3,False,0.0,0,-1,0,0,0,0,0,0,0,,3.3
5,2A,,3.63,True,-0.14,-1,-1,0,0,0,0,-1,0,0,,3.49
6,LSp4,,2.7,False,0.5,1,1,1,1,2,1,1,1,1,,3.2
7,CCoSp3p3,,3.0,False,0.86,2,1,2,2,2,2,1,2,1,,3.86
,,,30.43,,,,,,,,,,,,,31.41
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.75,5.5,6.0,5.5,6.25,5.75,6.5,6.5,6.0,,5.96
,Transition / Linking Footwork  ,,,,0.8,5.5,4.5,5.5,5.25,6.25,5.25,5.75,5.5,5.25,,5.43
,Performance / Execution  ,,,,0.8,5.75,4.75,6.0,5.5,6.5,2.25,6.25,5.25,5.5,,5.57
,Choreography / Composition  ,,,,0.8,5.5,4.5,5.75,5.5,6.0,5.5,6.25,5.25,6.0,,5.64
,Interpretation  ,,,,0.8,5.5,4.5,5.75,5.25,6.25,5.5,6.0,5.25,5.5,,5.54
,,,,,,,,,,,,,,,,22.51
