9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
12,Giada RUSSO,ITA,23,53.52,28.2,25.32,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T+2T,,5.6,False,0.1,1,0,0,-1,0,0,1,0,0,,5.7
2,CCoSp3p4,,3.5,False,0.43,1,1,1,0,0,1,1,1,1,,3.93
3,3S<,<,3.41,True,-0.8,-1,-1,-1,-2,-2,-1,-1,-1,-1,,2.61
4,2A,,3.63,True,0.57,1,1,2,0,1,1,2,1,1,,4.2
5,StSq4,,3.9,False,1.3,2,2,2,1,1,2,2,2,2,,5.2
6,FSSp4,,3.0,False,0.29,1,1,1,0,0,0,1,1,0,,3.29
7,LSp4,,2.7,False,0.57,2,1,1,1,1,1,2,1,1,,3.27
,,,25.74,,,,,,,,,,,,,28.2
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.25,6.25,6.0,5.75,5.25,6.0,6.5,6.25,6.0,,6.07
,Transition / Linking Footwork  ,,,,0.8,7.0,6.75,5.75,5.25,5.5,5.75,6.5,6.0,5.75,,6.0
,Performance / Execution  ,,,,0.8,6.75,6.5,6.5,5.75,6.5,6.75,6.75,6.5,6.25,,6.54
,Choreography / Composition  ,,,,0.8,7.0,7.0,6.0,5.5,6.0,6.5,6.5,7.0,6.25,,6.46
,Interpretation  ,,,,0.8,7.25,7.0,6.25,6.0,6.25,6.75,6.75,6.75,6.25,,6.57
,,,,,,,,,,,,,,,,25.32
