9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Tatiana VOLOSOZHAR / Maxim TRANKOV,RUS,15,79.77,42.69,37.08,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw4,,6.6,False,2.0,3,3,3,2,3,1,3,3,3,,8.6
2,3S,,4.4,False,1.2,2,2,1,2,3,1,2,1,2,,5.6
3,3FTh,,5.5,False,1.1,2,2,2,2,2,0,0,1,2,,6.6
4,4Li4,,4.5,False,0.93,2,1,2,2,2,0,2,2,2,,5.43
5,StSq4,,3.9,False,1.6,2,3,2,2,3,0,2,2,3,,5.5
6,BoDs3,,4.0,False,1.6,2,2,3,3,3,0,2,1,3,,5.6
7,PCoSp3p4,,4.5,False,0.86,1,2,2,1,2,0,2,2,2,,5.36
,,,33.4,,,,,,,,,,,,,42.69
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,9.25,9.0,9.0,9.5,9.75,8.25,9.5,9.0,9.0,,9.18
,Transition / Linking Footwork  ,,,,0.8,8.75,8.75,9.0,9.25,9.5,8.0,9.0,9.0,9.0,,8.96
,Performance / Execution  ,,,,0.8,9.5,9.25,9.5,9.75,9.5,8.25,9.5,9.25,9.5,,9.43
,Choreography / Composition  ,,,,0.8,8.75,9.25,9.5,9.5,9.75,8.25,9.5,9.5,9.5,,9.36
,Interpretation  ,,,,0.8,9.25,9.0,9.5,9.5,10.0,8.5,9.5,9.75,9.5,,9.43
,,,,,,,,,,,,,,,,37.08
