9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Nicole DELLA MONICA / Matteo GUARISE,ITA,16,61.51,31.99,29.52,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3S,,4.4,False,-1.3,-2,-1,-2,-2,-2,-2,-2,-1,-2,,3.1
2,3Tw2,,5.8,False,0.2,0,1,0,0,2,0,1,0,0,,6.0
3,3LoTh,,5.0,False,-0.2,-1,0,0,0,0,0,-1,-1,0,,4.8
4,4Li4,,4.5,False,0.71,0,1,2,1,2,1,2,2,1,,5.21
5,BoDs4,,4.5,False,0.8,0,2,2,0,2,1,1,1,1,,5.3
6,StSq3,,3.3,False,0.57,0,1,1,1,2,1,1,2,1,,3.87
7,PCoSp2p3,,3.0,False,0.71,0,1,2,1,2,2,1,2,1,,3.71
,,,30.5,,,,,,,,,,,,,31.99
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.25,7.0,8.0,6.75,7.5,7.25,8.0,8.0,7.0,,7.43
,Transition / Linking Footwork  ,,,,0.8,7.0,6.75,7.5,6.5,7.25,7.0,7.75,7.5,6.75,,7.11
,Performance / Execution  ,,,,0.8,7.0,7.0,7.75,7.25,7.75,7.75,8.25,7.75,7.0,,7.46
,Choreography / Composition  ,,,,0.8,7.0,7.0,8.0,6.75,7.25,7.5,8.5,7.75,7.0,,7.36
,Interpretation  ,,,,0.8,7.0,7.25,8.25,7.0,7.5,7.5,8.25,8.0,7.25,,7.54
,,,,,,,,,,,,,,,,29.52
