9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Miriam ZIEGLER / Severin KIEFER,AUT,12,52.96,28.49,24.47,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw1,,5.4,False,-1.2,-2,-1,-2,-2,-2,-2,-1,-2,-1,,4.2
2,3S,,4.4,False,0.6,1,1,0,1,1,1,1,0,1,,5.0
3,3FTh,,5.5,False,0.1,0,1,0,0,1,0,0,0,0,,5.6
4,4Li3,,4.0,False,0.14,0,0,0,0,1,0,2,1,0,,4.14
5,BoDsB,,2.8,False,0.0,0,0,0,0,0,0,0,0,-1,,2.8
6,PCoSp3p2,,3.5,False,0.29,0,0,0,1,1,1,1,1,0,,3.79
7,StSq2,,2.6,False,0.36,0,1,0,1,1,1,2,1,0,,2.96
,,,28.2,,,,,,,,,,,,,28.49
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.75,5.75,5.0,5.75,6.0,6.75,6.75,7.0,6.0,,6.11
,Transition / Linking Footwork  ,,,,0.8,5.5,5.5,4.5,5.0,5.5,6.5,6.75,7.0,5.5,,5.75
,Performance / Execution  ,,,,0.8,5.75,6.25,4.5,5.5,6.25,7.0,6.75,7.25,6.25,,6.25
,Choreography / Composition  ,,,,0.8,5.75,5.75,4.5,5.75,5.75,6.75,7.0,7.5,6.0,,6.11
,Interpretation  ,,,,0.8,6.0,6.0,4.75,6.0,6.25,7.0,7.0,7.5,6.25,,6.36
,,,,,,,,,,,,,,,,24.47
