9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Shiyue WANG / Xinyu LIU,CHN,9,79.08,40.28,39.8,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,CuLi4,,4.5,False,1.03,2,1,2,1,2,2,1,2,2,,5.53
2,STw4,,6.6,False,0.77,1,1,1,1,2,2,2,1,1,,7.37
3,CiSt2,,5.6,False,0.94,0,1,1,0,1,1,1,1,1,,6.54
4,SlLi4,,4.5,False,0.6,2,1,0,1,1,1,1,0,2,,5.1
5,CoSp2,,3.6,False,0.26,1,1,-1,0,0,1,0,1,0,,3.86
6,RoLi4,,4.5,False,0.51,1,1,1,0,1,1,-1,1,1,,5.01
7,DiSt2,,5.6,False,0.16,0,0,1,0,0,0,0,1,0,,5.76
8,ChLi1,,0.6,False,0.51,0,0,2,0,1,1,1,1,2,,1.11
,,,35.5,,,,,,,,,,,,,40.28
,Program Components,,,,Factor
,Skating Skills  ,,,,1.2,6.75,7.25,7.0,6.5,6.5,6.75,6.5,6.25,6.75,,6.68
,Linking Footwork / Movement  ,,,,1.2,6.75,6.75,6.25,6.5,6.0,6.5,5.75,6.0,6.5,,6.36
,Performance  ,,,,1.2,7.0,6.75,6.5,7.0,6.25,6.75,6.5,6.5,7.0,,6.71
,Choreography  ,,,,1.2,7.25,7.0,6.75,6.75,6.5,7.25,6.0,6.0,6.75,,6.71
,Interpretation / Timing  ,,,,1.2,7.0,6.75,6.5,7.0,6.5,6.75,6.25,6.5,7.0,,6.71
,,,,,,,,,,,,,,,,39.8
Deduction,Extended lifts,-1.0
