9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Na Hyun KIM,KOR,15,112.3,59.5,52.8,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lo+3Lo,,10.2,False,0.6,1,1,1,1,1,0,1,0,1,,10.8
2,3Lze+3T<,e,7.2,False,-1.8,-3,-3,-2,-2,-2,-3,-3,-2,-3,,5.4
3,2A,,3.3,False,0.5,1,1,0,2,2,0,1,1,1,,3.8
4,FSSp4,,3.0,False,0.5,1,1,1,2,1,1,0,1,1,,3.5
5,LSp4,,2.7,False,0.64,1,1,1,1,2,2,2,1,1,,3.34
6,StSq3,,3.3,False,0.43,0,1,1,1,0,1,1,2,1,,3.73
7,3F+2Lo+2Lo,,9.79,True,0.0,0,0,0,0,0,0,0,1,0,,9.79
8,ChSq1,,2.0,False,0.4,1,1,0,1,-1,0,1,1,0,,2.4
9,3S<,<,3.41,True,-0.8,-1,-1,-1,-1,-1,-1,-1,-2,-2,,2.61
10,3F,,5.83,True,0.6,1,1,1,1,1,0,0,1,1,,6.43
11,2A,,3.63,True,0.36,0,1,0,1,1,1,1,1,0,,3.99
12,CCoSp3p4,,3.5,False,0.21,0,1,0,1,0,0,1,0,1,,3.71
,,,57.86,,,,,,,,,,,,,59.5
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,6.75,7.0,6.25,7.0,7.5,6.75,6.75,6.5,7.25,,6.86
,Transition / Linking Footwork  ,,,,1.6,6.25,6.25,5.75,6.75,6.75,6.25,6.5,6.25,7.25,,6.43
,Performance / Execution  ,,,,1.6,6.5,6.5,6.25,7.0,7.0,6.5,6.75,6.5,7.0,,6.68
,Choreography / Composition  ,,,,1.6,6.5,6.75,6.25,6.75,7.0,6.75,6.75,6.25,6.75,,6.64
,Interpretation  ,,,,1.6,6.25,6.25,6.25,6.5,7.0,6.5,6.25,5.75,6.75,,6.39
,,,,,,,,,,,,,,,,52.8
