9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Grant HOCHSTEIN,USA,18,140.55,65.91,75.64,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4T,,10.3,False,-4.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,6.3
2,1A,,1.1,False,0.0,0,0,0,0,0,0,0,0,0,,1.1
3,3Lz,!,6.0,False,-0.5,-1,0,1,-1,-1,-1,-1,-1,0,,5.5
4,StSq4,,3.9,False,1.0,1,1,2,1,1,2,3,2,1,,4.9
5,CCSp3,,2.8,False,0.5,1,1,2,1,1,1,1,1,1,,3.3
6,3A,,9.35,True,-1.86,-2,-2,0,-2,-2,-1,-2,-2,-2,,7.49
7,FSSp4,,3.0,False,0.79,2,1,2,2,1,2,2,1,1,,3.79
8,3Lz+1Lo+3S,!,11.99,True,-0.6,-1,-1,0,-1,-1,-1,-1,-1,0,,11.39
9,2Lo,,1.98,True,0.0,0,0,0,0,0,0,0,0,0,,1.98
10,3F,,5.83,True,0.4,0,1,1,1,0,0,1,1,0,,6.23
11,3T+2T,,6.16,True,0.4,0,1,1,1,1,0,1,0,0,,6.56
12,ChSq1,,2.0,False,1.3,2,2,2,2,2,1,2,2,0,,3.3
13,CCoSp3p4,,3.5,False,0.57,1,1,1,1,1,1,2,2,1,,4.07
,,,67.91,,,,,,,,,,,,,65.91
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,7.75,7.0,8.0,7.5,7.5,7.5,8.0,7.5,7.5,,7.61
,Transition / Linking Footwork  ,,,,2.0,7.5,6.75,8.5,7.25,7.5,7.0,7.75,7.75,7.0,,7.39
,Performance / Execution  ,,,,2.0,7.75,7.25,8.0,7.5,7.75,7.0,7.5,7.5,7.0,,7.46
,Choreography / Composition  ,,,,2.0,8.0,7.5,8.5,7.5,7.5,7.25,8.0,8.0,7.0,,7.68
,Interpretation  ,,,,2.0,8.0,7.5,8.25,7.75,7.25,7.5,8.0,7.75,7.0,,7.68
,,,,,,,,,,,,,,,,75.64
Deduction,Falls,-1.0
