9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Daisuke MURAKAMI,JPN,7,80.88,42.17,38.71,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4S,,10.5,False,-3.31,-3,-2,-2,-3,-2,-3,-3,-3,-1,,7.19
2,3A,,8.5,False,1.29,2,2,2,1,1,1,0,1,1,,9.79
3,FCSp3,,2.8,False,0.29,1,1,0,0,1,0,0,1,1,,3.09
4,3Lz+3Lo,!,12.21,True,0.2,0,1,1,0,-1,0,1,0,0,,12.41
5,CSSp4,,3.0,False,0.24,1,1,1,-1,1,0,2,0,-1,,3.24
6,StSq2,,2.6,False,0.71,1,2,1,2,1,1,1,2,2,,3.31
7,CCoSp2p3,,2.5,False,0.64,2,2,1,2,1,1,1,1,1,,3.14
,,,42.11,,,,,,,,,,,,,42.17
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,8.25,7.75,7.75,8.0,7.5,7.75,7.75,8.75,8.5,,7.96
,Transition / Linking Footwork  ,,,,1.0,7.75,7.0,7.0,7.75,7.75,6.75,7.0,8.5,7.5,,7.39
,Performance / Execution  ,,,,1.0,8.0,7.5,7.5,7.5,7.75,7.5,6.75,8.5,8.0,,7.68
,Choreography / Composition  ,,,,1.0,8.25,7.5,7.75,8.25,7.75,7.5,7.5,8.5,8.25,,7.89
,Interpretation  ,,,,1.0,7.75,7.75,7.5,8.0,7.75,7.25,6.75,8.5,8.5,,7.79
,,,,,,,,,,,,,,,,38.71
