9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Evgenia TARASOVA / Vladimir MOROZOV,RUS,7,127.19,63.85,63.34,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw4,,6.6,False,2.0,3,3,3,3,2,3,3,3,2,,8.6
2,3S,,4.4,False,0.2,0,-1,1,0,1,0,-1,1,1,,4.6
3,3T+2T+2T,,6.9,False,-0.1,0,-2,0,0,0,0,0,-1,0,,6.8
4,5RLi4,,7.5,False,0.9,2,0,0,1,1,1,2,2,2,,8.4
5,3LoTh,,5.0,False,0.1,1,-1,0,1,0,0,1,0,-1,,5.1
6,BiDs3,,3.2,False,0.8,1,0,2,1,1,1,2,1,1,,4.0
7,FCCoSp3p4,,3.5,False,0.24,0,-1,1,1,1,-1,1,0,1,,3.74
8,3STh,,4.5,False,0.2,1,-1,1,1,1,-1,2,-1,0,,4.7
9,ChSq1,,2.0,False,0.7,1,-1,1,1,1,0,2,2,1,,2.7
10,5ALi3,,6.5,False,0.5,1,-2,-1,1,1,1,1,1,2,,7.0
11,3Li4,,4.5,False,0.57,2,-2,0,1,1,1,2,1,2,,5.07
12,PCoSp2p2,,2.5,False,0.64,1,-1,2,1,2,1,1,2,1,,3.14
,,,57.1,,,,,,,,,,,,,63.85
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,8.5,6.25,8.25,7.25,8.25,7.75,7.75,8.0,8.5,,7.96
,Transition / Linking Footwork  ,,,,1.6,8.0,5.75,8.0,6.75,8.0,7.75,7.75,7.75,8.0,,7.71
,Performance / Execution  ,,,,1.6,8.5,6.5,7.75,7.75,8.25,7.75,8.0,7.75,8.0,,7.89
,Choreography / Composition  ,,,,1.6,8.5,7.0,8.0,7.75,8.0,8.75,8.25,8.25,8.25,,8.14
,Interpretation  ,,,,1.6,8.5,5.75,7.25,7.0,8.5,8.25,8.5,7.75,8.0,,7.89
,,,,,,,,,,,,,,,,63.34
