9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Nan SONG,CHN,2,76.46,42.0,34.46,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4T,,10.3,False,0.26,0,-1,-1,2,2,1,0,0,0,,10.56
2,3A,,8.5,False,1.57,2,1,2,1,3,2,2,1,1,,10.07
3,FCSp4,,3.2,False,-0.09,-1,0,0,0,-1,0,0,0,-1,,3.11
4,3Lz+2T,,7.3,False,-0.2,-1,0,-1,0,0,0,1,-1,0,,7.1
5,CSSp4,,3.0,False,0.36,0,0,1,1,1,1,1,0,1,,3.36
6,StSq3,,3.3,False,0.57,0,2,1,1,1,2,3,0,1,,3.87
7,CCoSp3p4,,3.5,False,0.43,1,1,0,0,1,1,1,1,1,,3.93
,,,39.1,,,,,,,,,,,,,42.0
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,7.0,7.5,6.5,6.25,7.5,6.75,7.25,7.25,6.75,,7.0
,Transition / Linking Footwork  ,,,,1.0,5.25,7.25,6.0,6.0,7.0,7.0,6.75,6.75,6.25,,6.54
,Performance / Execution  ,,,,1.0,6.75,7.75,6.5,6.5,7.75,7.5,7.5,6.75,6.75,,7.07
,Choreography / Composition  ,,,,1.0,6.5,7.5,6.25,6.5,7.5,7.0,7.5,7.0,6.75,,6.96
,Interpretation  ,,,,1.0,6.5,7.25,6.5,6.5,8.0,7.25,7.25,6.75,6.75,,6.89
,,,,,,,,,,,,,,,,34.46
