9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Cheng PENG / Hao ZHANG,CHN,1,117.44,59.23,60.21,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4Tw2,,8.0,False,-0.71,1,-1,-2,-1,-2,1,0,-1,-1,,7.29
2,3T+2T,,5.6,False,0.8,2,1,1,2,1,1,1,1,1,,6.4
3,4STh,,8.2,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,5.2
4,ChSq1,,2.0,False,-0.43,0,0,-2,0,0,0,-2,-2,-2,,1.57
5,2S,,1.3,False,-0.57,-3,-3,-3,-3,-3,-3,-3,-2,-2,,0.73
6,FCCoSp3p4,,3.5,False,-0.06,1,-1,1,0,-1,0,-1,0,-1,,3.44
7,4Li4,,4.5,False,0.64,2,1,2,1,1,1,0,2,1,,5.14
8,3LoTh,,5.0,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.9
9,FiDs4,,3.5,False,1.3,2,2,1,2,2,2,1,2,2,,4.8
10,5BLi4,,7.0,False,1.4,2,2,2,1,2,2,2,2,2,,8.4
11,PCoSp3p4,,4.5,False,0.36,2,0,1,1,0,1,0,1,1,,4.86
12,5RLi4,,7.5,False,1.0,1,2,3,0,1,2,1,2,1,,8.5
,,,60.6,,,,,,,,,,,,,59.23
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,8.0,7.75,7.75,8.0,8.0,7.5,7.0,7.75,7.75,,7.79
,Transition / Linking Footwork  ,,,,1.6,7.75,7.5,7.75,7.5,7.5,7.0,6.25,7.25,7.5,,7.43
,Performance / Execution  ,,,,1.6,7.75,7.75,6.75,7.75,8.25,7.0,6.5,7.5,7.25,,7.39
,Choreography / Composition  ,,,,1.6,8.5,7.75,7.5,7.5,8.0,7.5,6.75,7.75,7.5,,7.64
,Interpretation  ,,,,1.6,8.0,7.5,7.0,7.25,8.0,7.5,6.5,7.25,7.25,,7.39
,,,,,,,,,,,,,,,,60.21
Deduction,Falls,-2.0
