9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Lubov ILIUSHECHKINA / Dylan MOSCOVITCH,CAN,4,116.83,57.96,58.87,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw1,,5.4,False,0.7,1,1,1,1,0,1,2,1,1,,6.1
2,2T+2T,,2.6,False,-0.37,-2,-2,-2,-2,-2,0,-2,-2,-1,,2.23
3,3LzTh,,5.5,False,-0.4,-1,-1,-1,-1,-1,1,0,-1,1,,5.1
4,5RLi4,,7.5,False,0.9,1,1,1,2,1,2,2,1,1,,8.4
5,3S<,<,3.1,False,-0.7,-1,-1,-1,-1,-1,-2,-1,-1,-1,,2.4
6,5ALi4,,7.0,False,1.2,1,1,2,2,1,3,2,1,3,,8.2
7,3LoTh,,5.0,False,0.1,0,-1,1,0,0,0,0,1,0,,5.1
8,PCoSp3p4,,4.5,False,0.14,0,1,0,0,1,1,0,0,-1,,4.64
9,FCCoSp3p3,,3.0,False,0.5,1,-1,1,1,0,2,1,2,1,,3.5
10,ChSq1,,2.0,False,0.7,1,1,-1,1,1,1,1,1,1,,2.7
11,3Li4,,4.5,False,0.79,1,1,1,2,2,3,2,1,2,,5.29
12,FiDs4,,3.5,False,0.8,1,0,1,1,0,2,1,2,2,,4.3
,,,53.6,,,,,,,,,,,,,57.96
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,7.5,7.25,7.5,7.75,7.25,7.25,7.75,7.25,7.25,,7.39
,Transition / Linking Footwork  ,,,,1.6,7.25,6.75,7.0,7.25,7.25,7.25,7.5,7.0,7.25,,7.18
,Performance / Execution  ,,,,1.6,7.5,7.25,7.25,7.5,7.0,7.5,7.5,7.25,7.25,,7.36
,Choreography / Composition  ,,,,1.6,7.5,7.0,7.5,7.75,7.25,7.5,7.75,7.25,7.75,,7.5
,Interpretation  ,,,,1.6,7.5,7.25,7.25,7.5,7.5,7.5,7.25,6.75,7.25,,7.36
,,,,,,,,,,,,,,,,58.87
