ISU GP Rostelecom Cup 2015,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Evgenia MEDVEDEVA RUS  10,139.73  72.12,,67.61,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3F+3T  9.60  1.40 1 1 2,3 2 2 3,,2 2,11.00,
2 3Lz  6.00  1.40 2 2 2,2 3 2 2,,2 1,7.40,
3 FCCoSp3p4  3.50  1.00 2 2 1,2 2 2 2,,2 2,4.50,
4 StSq4  3.90  1.60 2 2 1,3 2 2 3,,3 2,5.50,
"",Info,,,,Info
5 3F  5.83 x  1.10 2 1 2,2 2 1 2,,1 1,6.93,
6 3Lo  5.61 x  1.00 2 1 1,2 2 1 2,,1 1,6.61,
7 2A+2T+2T  6.49 x  0.29 0 0 1,1 1 0 1,,1 0,6.78,
8 3S+3T  9.57 x  0.30 1 0 1,1 0 0 1,,0 -1,9.87,
9 2A  3.63 x -0.93 -2 -2 -1,-2 -2 -2 -1,,-2 -3,2.70,
10 ChSq1  2.00  0.70 1 2 1,1 1 3 1,,0 0,2.70,
11 CCoSp3p4  3.50  0.86 2 2 2,1 1 2 2,,1 2,4.36,
12 LSp4  2.70  1.07 3 1 1,3 2 3 3,,1 2,3.77,
62.33,,,,72.12,
Program Components Factor,,,,,
Skating Skills  1.60 8.25 8.25 8.50,8.00 8.50 8.25 8.75,,8.00 8.50,8.32,
Transition / Linking Footwork  1.60 8.25 8.25 8.75,7.75 8.25 8.25 8.50,,8.00 8.25,8.25,
Performance / Execution  1.60 9.00 8.50 8.25,8.00 8.50 8.50 9.00,,8.50 8.50,8.54,
Choreography / Composition  1.60 8.75 8.50 8.75,8.00 8.50 8.50 8.75,,8.50 8.75,8.61,
Interpretation  1.60 8.75 8.50 8.50,8.25 8.50 8.50 8.50,,8.50 9.00,8.54,
Judges Total Program Component Score (factored),,,,67.61,
Deductions:,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Elena RADIONOVA RUS  12,139.53  70.75,,68.78,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3Lz+3T  10.30  0.30 1 0 0,-1 0 0 1,,1 1,10.60,
2 3F !  5.30 -0.10 0 1 -1,-1 0 0 0,,1 -1,5.20,
3 3Lz  6.00  0.70 1 1 0,0 1 1 2,,1 2,6.70,
4 CCoSp3p4  3.50  0.79 1 2 2,1 1 2 1,,2 2,4.29,
5 StSq4  3.90  1.40 2 3 2,1 2 2 2,,2 2,5.30,
6 3Lo+1Lo+3S  11.00 x  0.40 1 0 0,-1 1 1 0,,2 1,11.40,
7 2A  3.63 x  0.43 2 0 0,1 1 1 1,,1 1,4.06,
8 3Lo+2T  7.04 x  0.50 1 0 1,0 1 0 1,,1 1,7.54,
9 ChSq1  2.00  1.40 2 2 2,1 2 2 2,,2 2,3.40,
10 2A  3.63 x  0.43 1 0 1,-1 1 1 1,,1 1,4.06,
11 FCCoSp3p4  3.50  0.79 2 2 1,1 1 2 2,,2 1,4.29,
12 LSp4  2.70  1.21 2 2 3,2 3 2 3,,3 2,3.91,
62.50,,,,70.75,
Program Components Factor,,,,,
Skating Skills  1.60 8.75 8.50 8.50,8.50 8.75 8.50 8.50,,8.50 8.75,8.57,
Transition / Linking Footwork  1.60 8.50 8.50 8.75,8.50 8.50 8.50 8.00,,8.25 8.50,8.46,
