9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Ksenia STOLBOVA / Fedor KLIMOV,RUS,8,75.45,40.05,35.4,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw2,,5.8,False,0.4,2,-2,1,0,1,1,0,0,1,,6.2
2,3FTh,,5.5,False,1.4,3,2,2,3,1,2,2,2,1,,6.9
3,3T,,4.3,False,1.0,2,1,1,1,1,2,2,1,2,,5.3
4,BoDs4,,4.5,False,1.2,2,0,2,2,0,2,2,2,2,,5.7
5,StSq4,,3.9,False,1.4,3,2,2,2,1,2,2,2,2,,5.3
6,4Li4,,4.5,False,0.79,2,1,2,1,2,2,2,1,1,,5.29
7,PCoSp3p4,,4.5,False,0.86,2,1,2,2,1,2,2,3,1,,5.36
,,,33.0,,,,,,,,,,,,,40.05
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.75,9.0,9.25,8.75,8.5,8.75,8.75,9.25,9.25,,8.93
,Transition / Linking Footwork  ,,,,0.8,8.75,8.5,8.75,8.75,8.25,8.5,8.75,8.5,8.5,,8.61
,Performance / Execution  ,,,,0.8,9.0,9.25,9.0,9.0,8.25,8.75,9.0,9.25,9.0,,9.0
,Choreography / Composition  ,,,,0.8,9.0,8.75,8.75,9.0,8.0,8.5,8.5,9.0,9.0,,8.79
,Interpretation  ,,,,0.8,9.25,9.0,9.0,8.75,8.25,8.5,8.75,9.25,9.25,,8.93
,,,,,,,,,,,,,,,,35.4
