9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Evgenia MEDVEDEVA,RUS,12,135.09,68.93,67.16,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+3T,,9.6,False,1.5,2,2,2,3,2,1,3,2,2,,11.1
2,3Lz,,6.0,False,0.8,1,1,1,2,1,1,2,1,1,,6.8
3,FCCoSp3p4,,3.5,False,0.86,2,2,1,2,2,2,2,1,1,,4.36
4,StSq3,,3.3,False,0.57,2,0,1,2,0,2,1,1,1,,3.87
5,3F,,5.83,True,1.0,2,1,1,2,2,1,2,1,1,,6.83
6,3Lo,,5.61,True,0.6,1,1,1,1,1,1,2,0,0,,6.21
7,2A,,3.63,True,-1.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.13
8,3S+3T+2T,,11.0,True,0.8,2,1,1,1,1,1,2,1,1,,11.8
9,2A+2T,,5.06,True,0.5,1,1,0,2,1,1,2,0,1,,5.56
10,ChSq1,,2.0,False,1.0,1,1,1,2,2,2,2,1,0,,3.0
11,CCoSp3p3,,3.0,False,0.71,2,1,1,2,2,1,2,1,1,,3.71
12,LSp4,,2.7,False,0.86,2,1,2,2,2,2,2,1,1,,3.56
,,,61.23,,,,,,,,,,,,,68.93
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,8.5,8.5,8.25,9.0,8.25,8.25,9.25,7.75,7.75,,8.36
,Transition / Linking Footwork  ,,,,1.6,8.75,8.25,8.0,8.5,8.0,7.5,9.0,7.5,7.75,,8.11
,Performance / Execution  ,,,,1.6,8.75,8.75,8.25,8.75,7.75,8.25,9.25,8.25,8.0,,8.43
,Choreography / Composition  ,,,,1.6,9.0,8.5,8.0,8.75,8.5,8.5,9.25,8.0,8.25,,8.5
,Interpretation  ,,,,1.6,9.0,8.75,8.5,8.75,8.5,8.25,9.25,8.25,8.0,,8.57
,,,,,,,,,,,,,,,,67.16
Deduction,Falls,-1.0
