9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Maia SHIBUTANI / Alex SHIBUTANI,USA,26,74.7,37.78,36.92,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,1RW4+kpYYY,,5.0,False,1.2,2,2,2,2,2,2,3,2,2,,6.2
2,2RW4+kpYYY,,5.0,False,1.03,2,2,1,2,2,1,3,2,1,,6.03
3,STw4,,6.6,False,1.8,3,3,2,3,3,3,3,3,3,,8.4
4,PSt4,,8.6,False,2.51,3,2,2,2,3,2,2,3,2,,11.11
5,RoLi4,,4.5,False,1.54,3,3,2,2,3,3,3,2,2,,6.04
,,,29.7,,,,,,,,,,,,,37.78
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.75,9.0,9.25,9.25,9.0,8.75,9.75,9.75,8.5,,9.11
,Linking Footwork / Movement  ,,,,0.8,9.0,8.75,9.0,9.0,9.25,8.75,9.75,9.5,8.75,,9.04
,Performance  ,,,,0.8,9.25,9.25,9.0,9.0,9.5,9.25,9.75,9.75,9.0,,9.29
,Choreography  ,,,,0.8,9.25,9.25,9.25,9.5,9.5,9.0,10.0,9.5,9.0,,9.32
,Interpretation / Timing  ,,,,0.8,9.5,9.0,9.25,9.25,9.75,9.25,10.0,9.75,9.0,,9.39
,,,,,,,,,,,,,,,,36.92
