9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
24,Niki WORIES,NED,19,49.86,27.67,22.19,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+2T,!,6.6,False,-0.6,-1,-1,-1,-1,0,-1,-1,0,-1,,6.0
2,3Lz,,6.0,False,0.1,1,0,0,0,0,-1,0,1,0,,6.1
3,FSSp4,,3.0,False,0.21,1,1,1,0,1,0,0,0,-1,,3.21
4,2A,,3.63,True,0.0,0,0,0,0,0,0,0,0,0,,3.63
5,LSp4,,2.7,False,0.2,1,1,0,1,-1,-1,1,1,-1,,2.9
6,StSq2,,2.6,False,0.29,1,1,1,1,0,0,0,1,0,,2.89
7,CCoSp3p3,,3.0,False,-0.06,1,0,0,0,1,-1,-2,0,-2,,2.94
,,,27.53,,,,,,,,,,,,,27.67
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.75,5.75,5.5,5.0,6.0,5.75,4.75,5.75,4.0,,5.46
,Transition / Linking Footwork  ,,,,0.8,5.5,5.5,5.5,4.5,6.0,6.0,5.0,6.0,4.25,,5.43
,Performance / Execution  ,,,,0.8,5.75,6.0,5.5,4.75,6.25,6.5,5.5,6.25,4.5,,5.71
,Choreography / Composition  ,,,,0.8,5.5,5.75,5.25,5.0,6.0,6.5,5.0,6.0,4.5,,5.5
,Interpretation  ,,,,0.8,5.5,6.25,5.25,5.0,6.0,7.0,5.25,6.25,4.5,,5.64
,,,,,,,,,,,,,,,,22.19
