9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Shoma UNO,JPN,25,90.74,47.17,43.57,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4T,,10.3,False,1.43,2,0,1,1,2,2,0,2,2,,11.73
2,FCSp4,,3.2,False,0.93,2,1,2,2,2,2,2,1,2,,4.13
3,CSSp4,,3.0,False,0.21,1,-1,0,0,1,1,0,0,1,,3.21
4,3A,,9.35,True,2.29,2,2,2,2,2,2,3,3,3,,11.64
5,3F+2T,,7.26,True,-0.8,-1,-2,-1,-1,-1,-1,-2,-1,-1,,6.46
6,StSq4,,3.9,False,1.6,2,2,2,2,2,3,3,3,2,,5.5
7,CCoSp3p4,,3.5,False,1.0,2,2,2,2,2,2,2,2,2,,4.5
,,,40.51,,,,,,,,,,,,,47.17
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,8.75,9.0,8.25,9.25,8.5,9.25,9.25,9.0,9.0,,8.96
,Transition / Linking Footwork  ,,,,1.0,8.0,8.5,7.75,9.0,8.25,8.25,8.75,9.25,8.75,,8.5
,Performance / Execution  ,,,,1.0,8.75,8.25,8.0,9.0,8.5,9.0,9.0,9.25,9.0,,8.79
,Choreography / Composition  ,,,,1.0,8.5,8.75,8.25,8.75,8.5,8.75,8.75,9.25,8.75,,8.68
,Interpretation  ,,,,1.0,8.25,8.75,8.0,8.75,8.5,8.75,8.5,9.0,9.0,,8.64
,,,,,,,,,,,,,,,,43.57
