9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
16,Lola ESBRAT / Andrei NOVOSELOV,FRA,1,84.46,42.76,43.7,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Tw2,,5.8,False,-0.7,0,-1,-1,-1,-1,-1,-1,-1,-1,,5.1
2,2S,,1.3,False,-0.6,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.7
3,3FTh,,5.5,False,-1.6,-2,-3,-2,-2,-3,-2,-2,-2,-3,,3.9
4,5RLi4,,7.5,False,-0.1,0,0,0,-1,-1,0,0,1,0,,7.4
5,ChSq1,,2.0,False,0.2,0,-1,1,1,0,0,0,0,1,,2.2
6,2A<+REP,<,1.61,False,-1.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.11
7,3STh,,4.5,False,-1.4,-3,-2,-2,-2,-2,-2,-2,-2,-2,,3.1
8,FiDs1,,2.8,False,0.0,0,0,0,0,0,0,0,0,0,,2.8
9,5SLi3,,6.0,False,0.14,1,0,1,-1,0,0,0,1,0,,6.14
10,FCCoSp3p4,,3.5,False,0.07,1,0,0,0,0,0,0,1,0,,3.57
11,3Li3,,4.0,False,-0.29,-1,-1,0,0,0,0,-1,-1,-1,,3.71
12,PCoSp3p3,,4.0,False,0.03,1,-1,-1,0,1,0,0,0,0,,4.03
,,,48.51,,,,,,,,,,,,,42.76
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,5.5,5.0,6.0,4.25,5.75,6.25,5.5,6.0,5.75,,5.64
,Transition / Linking Footwork  ,,,,1.6,5.5,4.5,5.75,4.25,5.5,6.0,5.0,5.5,6.0,,5.39
,Performance / Execution  ,,,,1.6,5.25,4.75,5.75,4.5,5.5,5.75,4.75,5.25,5.75,,5.29
,Choreography / Composition  ,,,,1.6,6.0,5.0,6.25,4.5,5.75,6.0,5.0,5.5,6.25,,5.64
,Interpretation  ,,,,1.6,5.25,5.0,6.0,4.25,5.5,5.75,4.75,5.25,6.0,,5.36
,,,,,,,,,,,,,,,,43.7
Deduction,Falls,-2.0
