9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Alexandra STEPANOVA / Ivan BUKIN,RUS,13,98.76,47.54,51.22,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,CoSp4,,5.6,False,1.46,2,3,2,2,3,2,3,2,3,,7.06
2,SlLi4,,4.5,False,1.11,1,2,1,2,2,2,2,2,2,,5.61
3,RoLi4,,4.5,False,1.2,2,2,2,2,2,2,2,2,3,,5.7
4,STw3,,5.6,False,1.71,3,3,2,3,3,2,3,3,3,,7.31
5,ChSp1,,0.7,False,1.2,1,2,2,2,2,1,2,1,3,,1.9
6,CiSt2,,5.6,False,1.89,1,1,2,2,2,2,1,2,2,,7.49
7,CuLi4,,4.5,False,1.2,2,2,2,2,2,2,2,2,2,,5.7
8,DiSt1,,4.1,False,0.77,1,1,1,2,2,1,1,1,2,,4.87
9,ChLi1,,0.7,False,1.2,1,2,1,1,3,1,2,2,3,,1.9
,,,35.8,,,,,,,,,,,,,47.54
,Program Components,,,,Factor
,Skating Skills  ,,,,1.2,8.75,8.75,8.25,8.25,8.5,8.25,8.5,8.5,8.5,,8.46
,Transitions  ,,,,1.2,8.25,8.25,8.0,8.75,8.25,8.25,8.25,8.5,8.25,,8.29
,Performance  ,,,,1.2,8.5,8.5,8.5,8.5,8.75,8.5,8.5,8.75,8.75,,8.57
,Composition  ,,,,1.2,8.25,8.75,8.5,8.5,8.75,8.75,8.75,8.75,9.0,,8.68
,Interpretation of the Music / Timing  ,,,,1.2,8.75,8.5,8.25,8.75,8.5,8.5,8.75,9.0,9.0,,8.68
,,,,,,,,,,,,,,,,51.22
