9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Carolina KOSTNER,ITA,7,72.4,36.8,35.6,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T+3T,,8.6,False,1.3,2,2,1,2,1,2,2,2,2,,9.9
2,3Lo,,5.1,False,1.3,2,2,2,2,2,1,1,2,3,,6.4
3,LSp3,,2.4,False,0.86,2,1,2,2,2,2,1,1,2,,3.26
4,2A,,3.63,True,0.64,1,2,1,1,1,2,1,1,2,,4.27
5,StSq4,,3.9,False,1.8,3,3,2,2,3,2,2,3,3,,5.7
6,FCSp4,,3.2,False,0.14,0,-1,0,0,0,2,1,1,0,,3.34
7,CCoSp3,,3.0,False,0.93,2,1,1,2,2,2,2,2,2,,3.93
,,,29.83,,,,,,,,,,,,,36.8
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,9.25,9.0,8.75,8.25,9.5,8.75,8.0,9.0,9.25,,8.89
,Transitions  ,,,,0.8,9.0,8.75,8.25,8.0,8.75,8.75,7.75,8.75,9.25,,8.61
,Performance  ,,,,0.8,9.5,8.75,8.5,8.5,9.25,9.0,8.25,9.25,9.75,,8.96
,Composition  ,,,,0.8,9.25,9.0,8.75,8.0,9.25,9.25,8.0,9.0,9.5,,8.93
,Interpretation of the Music  ,,,,0.8,9.5,9.5,8.75,8.25,9.75,9.25,8.0,8.75,9.75,,9.11
,,,,,,,,,,,,,,,,35.6
