9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
13,Minerva Fabienne HASE / Nolan SEEGERT,GER,6,51.27,28.53,22.74,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2Tw1,,3.1,False,0.3,1,2,2,0,2,0,0,1,1,,3.4
2,3T,,4.3,False,0.1,-1,0,1,0,0,0,0,0,1,,4.4
3,3STh,,4.5,False,-0.6,0,-1,1,-2,-2,-1,-1,0,-1,,3.9
4,5RLi3,,7.0,False,0.2,0,1,1,0,0,0,0,-1,1,,7.2
5,BiDs1,,2.8,False,0.3,0,1,1,0,1,-1,0,0,1,,3.1
6,FCCoSp4,,3.5,False,0.29,1,2,1,0,0,0,1,0,1,,3.79
7,StSq2,,2.6,False,0.14,1,0,1,0,0,0,0,0,1,,2.74
,,,27.8,,,,,,,,,,,,,28.53
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.75,5.75,5.75,5.75,5.75,6.0,5.75,5.5,6.5,,5.79
,Transitions  ,,,,0.8,5.75,6.0,5.5,5.25,5.0,5.75,5.25,5.25,5.75,,5.5
,Performance  ,,,,0.8,5.5,6.25,5.75,5.75,5.5,6.25,5.75,5.5,6.25,,5.82
,Composition  ,,,,0.8,5.25,6.25,5.5,5.5,5.25,6.25,5.5,5.75,6.0,,5.68
,Interpretation of the Music  ,,,,0.8,5.5,5.75,5.75,5.5,5.5,6.0,5.75,5.5,5.75,,5.64
,,,,,,,,,,,,,,,,22.74
