9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Zijun LI,CHN,17,116.68,61.02,55.66,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+3T<,<,8.3,False,-0.6,-1,-1,-1,-1,-1,0,-2,0,-1,,7.7
2,3Lz,,6.0,False,0.3,0,1,1,0,1,0,0,1,0,,6.3
3,2A+3T+2T,,8.9,False,0.2,1,1,-1,-1,1,1,0,2,-1,,9.1
4,StSq3,,3.3,False,0.29,0,1,0,0,0,1,1,2,1,,3.59
5,FCSp4,,3.2,False,0.43,1,1,1,0,1,0,1,1,1,,3.63
6,3Lo,,5.61,True,0.3,1,1,0,0,1,0,0,1,0,,5.91
7,3F,,5.83,True,-1.6,-3,-2,-2,-2,-2,-3,-3,-2,-2,,4.23
8,3S+2T,,6.27,True,0.1,0,0,0,0,1,0,0,0,1,,6.37
9,2A,,3.63,True,-0.07,-1,0,0,0,0,0,0,1,-1,,3.56
10,ChSq1,,2.0,False,1.0,1,2,1,1,2,1,2,1,2,,3.0
11,CCoSp4,,3.5,False,0.57,1,2,1,0,2,1,1,1,1,,4.07
12,LSp4,,2.7,False,0.86,1,2,2,1,2,1,2,2,2,,3.56
,,,59.24,,,,,,,,,,,,,61.02
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,6.5,7.25,7.5,6.5,7.5,6.5,6.75,7.5,7.25,,7.04
,Transitions  ,,,,1.6,6.25,7.0,7.25,6.25,7.25,6.0,6.5,6.75,7.0,,6.71
,Performance  ,,,,1.6,7.0,7.25,7.5,6.5,7.25,6.0,6.75,7.0,7.0,,6.96
,Composition  ,,,,1.6,6.5,7.0,7.75,6.75,7.25,6.5,6.75,7.25,7.25,,6.96
,Interpretation of the Music  ,,,,1.6,6.75,7.25,7.75,6.5,7.75,6.25,7.0,7.0,7.5,,7.11
,,,,,,,,,,,,,,,,55.66
