9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Kaitlin HAWAYEK / Jean-Luc BAKER,USA,6,65.01,33.97,31.04,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,1MB4+kpYYY,,5.0,False,0.6,1,1,1,1,1,1,1,2,1,,5.6
2,PSt2,,5.6,False,1.41,1,1,0,1,1,2,1,2,2,,7.01
3,STw4,,6.6,False,1.03,1,2,1,1,2,2,2,3,2,,7.63
4,NtMiSt3,,7.1,False,1.1,0,2,1,1,2,0,1,2,0,,8.2
5,RoLi4,,4.5,False,1.03,1,2,2,2,1,1,2,2,2,,5.53
,,,28.8,,,,,,,,,,,,,33.97
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.5,8.25,6.5,7.25,7.25,8.0,7.75,8.5,7.5,,7.64
,Transitions  ,,,,0.8,7.75,8.0,6.5,7.5,7.0,8.5,7.5,8.25,7.5,,7.64
,Performance  ,,,,0.8,7.25,8.0,6.75,7.75,7.5,7.5,7.75,8.25,7.75,,7.64
,Composition  ,,,,0.8,8.0,8.25,7.25,8.0,7.5,8.25,8.0,8.5,8.0,,8.0
,Interpretation of the Music / Timing  ,,,,0.8,7.5,8.25,7.0,8.25,7.75,7.5,8.0,8.5,8.0,,7.89
,,,,,,,,,,,,,,,,31.04
