9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,8,62.63,32.6,30.03,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,STw3,,5.6,False,0.19,0,1,-1,0,-1,0,1,2,1,,5.79
2,1MB4+kpYYY,,5.0,False,0.69,2,1,1,1,1,1,1,0,2,,5.69
3,PSt3,,7.1,False,1.57,1,2,1,2,1,2,1,1,2,,8.67
4,NtMiSt2,,5.6,False,1.41,1,1,0,2,2,1,1,1,2,,7.01
5,RoLi4,,4.5,False,0.94,2,2,0,2,2,2,1,1,1,,5.44
,,,27.8,,,,,,,,,,,,,32.6
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.5,7.5,7.0,7.5,7.75,7.75,7.25,7.5,7.5,,7.5
,Transitions  ,,,,0.8,7.5,7.25,6.75,7.0,7.25,7.5,7.25,7.5,7.5,,7.32
,Performance  ,,,,0.8,7.75,7.5,7.0,7.25,7.5,7.5,7.5,7.75,7.5,,7.5
,Composition  ,,,,0.8,7.75,7.75,6.75,7.25,7.5,7.75,7.25,7.75,8.0,,7.57
,Interpretation of the Music / Timing  ,,,,0.8,8.0,7.75,7.0,7.75,7.75,7.25,7.5,7.5,8.0,,7.64
,,,,,,,,,,,,,,,,30.03
