9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Joshi HELGESSON,SWE,1,100.05,47.14,52.91,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz<+2T+2Lo,<,7.3,False,-0.9,-1,-1,-2,-1,-1,-1,-1,-2,-2,,6.4
2,3F<,<,3.7,False,-0.7,-1,-1,-1,-1,-1,-1,-2,-1,-1,,3.0
3,3T+2A+SEQ,,6.08,False,0.6,1,1,1,1,1,1,0,2,0,,6.68
4,FCCoSp4,,3.5,False,0.0,0,0,0,0,0,0,0,0,0,,3.5
5,CSp3,,2.3,False,0.5,1,1,1,1,2,1,1,1,0,,2.8
6,ChSq1,,2.0,False,0.4,0,0,1,1,1,1,0,1,0,,2.4
7,3Lz<<,<<,2.31,True,-0.73,-2,-2,-3,-2,-3,-3,-2,-3,-2,,1.58
8,3Lo<,<,3.96,True,-0.8,-1,-1,-1,-1,-1,-1,-2,-1,-2,,3.16
9,3T+2T,,6.16,True,0.1,0,0,1,0,0,0,0,0,1,,6.26
10,2A,,3.63,True,0.14,0,0,1,1,0,0,0,1,0,,3.77
11,CCoSp4,,3.5,False,0.29,0,0,1,1,2,1,1,0,0,,3.79
12,StSq3,,3.3,False,0.5,1,0,1,1,2,1,1,1,1,,3.8
,,,47.74,,,,,,,,,,,,,47.14
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,6.75,6.75,7.0,7.0,7.25,6.5,6.5,6.5,6.5,,6.71
,Transitions  ,,,,1.6,6.25,6.5,6.75,6.5,6.75,6.25,5.25,5.5,6.0,,6.25
,Performance  ,,,,1.6,6.5,6.25,7.0,7.25,7.75,7.0,6.75,6.25,6.25,,6.71
,Composition  ,,,,1.6,6.5,6.5,7.25,7.0,7.5,6.75,6.25,6.0,6.5,,6.68
,Interpretation of the Music  ,,,,1.6,6.25,6.25,7.25,7.25,7.5,7.0,6.75,6.0,6.25,,6.71
,,,,,,,,,,,,,,,,52.91
