9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Kaitlyn WEAVER / Andrew POJE,CAN,9,73.78,37.27,36.51,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,1MB4+kpYYY,,5.0,False,1.2,2,1,2,2,3,2,2,2,2,,6.2
2,PSt3,,7.1,False,2.36,2,2,2,2,3,3,2,2,2,,9.46
3,STw3,,5.6,False,0.51,0,1,1,1,1,1,1,1,-1,,6.11
4,CuLi4,,4.5,False,1.54,2,2,3,3,3,3,2,3,2,,6.04
5,NtMiSt3,,7.1,False,2.36,2,3,2,2,2,3,2,2,2,,9.46
,,,29.3,,,,,,,,,,,,,37.27
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,9.0,9.0,8.75,9.0,9.25,9.5,9.25,9.0,8.25,,9.04
,Transitions  ,,,,0.8,9.0,8.5,8.5,9.0,9.25,9.25,9.0,9.25,8.25,,8.93
,Performance  ,,,,0.8,9.5,9.0,9.0,9.25,9.5,9.75,9.25,9.5,8.0,,9.29
,Composition  ,,,,0.8,9.25,8.75,8.75,9.0,9.5,9.5,9.25,9.5,8.5,,9.14
,Interpretation of the Music / Timing  ,,,,0.8,9.25,9.25,9.0,9.25,9.75,9.5,9.0,9.5,8.5,,9.25
,,,,,,,,,,,,,,,,36.51
