ISU Grand Prix of Figure Skating Final 2016,,,,
ICE DANCE SHORT DANCEJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
1 Tessa VIRTUE / Scott MOIR CAN  2  80.50,42.16,38.34,0.00,
Executed Base,,,Scores of,
"# InGfoOE J1 J2 J3 J4 J5",J6 J7,J8 InJfo9 Ref,,Info
Elements Value,,,Panel,
1 NtMiSt4  8.60  3.30 3 3 3 3 3,3 3,3 3,11.90,
2 1MB4+kpYYY  5.00  1.46 3 3 2 2 3,2 2,2 3,6.46,
3 PSt3  7.10  2.51 2 2 2 2 2,3 3,2 3,9.61,
4 STw4  6.60  1.29 3 2 2 3 2,2 2,2 2,7.89,
5 CuLi4  4.50  1.80 3 3 2 3 3,3 3,3 3,6.30,
31.80,,,42.16,
Program Components Factor,,,,
Skating Skills  0.80  9.50  10.00  9.50  9.50  9.50,9.75  9.25,9.50  9.25,9.50,
Transitions  0.80  9.75  9.50  9.25  9.50  9.50,9.50  9.25,9.25  9.25,9.39,
Performance  0.80  9.75  10.00  9.50  9.50  9.75,9.75  9.75,10.00  9.50,9.71,
Composition  0.80  9.75  9.50  9.75  9.50  9.50,9.50  9.50,9.50  9.50,9.54,
Interpretation of the Music / Timing  0.80  10.00  9.75  10.00  9.50  9.75,9.75  9.75,9.75  9.75,9.79,
Judges Total Program Component Score (factored),,,38.34,
Deductions,,,0.00,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
2 Maia SHIBUTANI / Alex SHIBUTANI USA  5  77.97,40.85,37.12,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,J8 J9 Ref,,
Elements Value,,,Panel,
1 1MB3+kpYNY  4.40  1.20 2 2 2 2 2,2 2,2 2,5.60,
2 PSt3  7.10  2.36 2 3 3 2 2,1 2,2 2,9.46,
3 STw4  6.60  1.71 3 3 2 3 3,3 3,3 2,8.31,
4 NtMiSt4  8.60  2.67 2 3 3 3 2,2 3,2 2,11.27,
5 RoLi4  4.50  1.71 3 3 3 3 2,2 3,3 3,6.21,
31.20,,,40.85,
Program Components Factor,,,,
Skating Skills  0.80  9.00  9.50  9.50  9.25  9.25,9.25  9.00,9.00  9.00,9.18,
Transitions  0.80  8.75  9.25  9.25  9.25  9.25,8.75  9.25,9.00  9.00,9.11,
Performance  0.80  9.25  9.50  9.50  9.50  9.00,9.25  9.50,9.25  9.25,9.36,
Composition  0.80  9.00  9.75  9.50  9.50  9.50,9.00  9.50,9.00  9.25,9.32,
Interpretation of the Music / Timing  0.80  9.25  9.75  9.75  9.50  9.50,8.75  9.50,9.25  9.25,9.43,
Judges Total Program Component Score (factored),,,37.12,
Deductions,,,0.00,
Violation of choreography restrictions: (1 of 10),,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
3 Gabriella PAPADAKIS / Guillaume CIZERON FRA  3  77.86,40.18,37.68,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,J8 J9 Ref,,
Elements Value,,,Panel,
1 STw4  6.60  1.71 3 3 3 3 3,2 2,3 3,8.31,
2 1MB4+kpYYY  5.00  1.29 2 2 2 2 2,2 3,2 3,6.29,
3 PSt2  5.60  2.20 2 2 2 2 2,2 2,2 2,7.80,
4 StaLi4  4.50  1.54 2 2 2 2 3,3 3,3 3,6.04,
5 NtDiSt4  8.60  3.14 3 3 3 3 2,3 3,2 3,11.74,
30.30,,,40.18,
Program Components Factor,,,,
