9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Anastasia CANNUSCIO / Colin MCMANUS,USA,1,86.81,45.11,41.7,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,CuLi4,,4.5,False,0.77,1,2,1,1,2,1,2,1,1,,5.27
2,DiSt2,,5.6,False,0.63,-1,1,1,0,1,1,1,0,0,,6.23
3,RoLi4,,4.5,False,0.94,2,1,2,1,2,2,2,1,1,,5.44
4,CoSp4,,5.6,False,0.6,1,1,1,1,0,1,1,1,1,,6.2
5,SeSt2,,5.6,False,0.94,1,1,1,1,1,1,1,0,0,,6.54
6,STw4,,6.6,False,0.26,0,1,0,0,0,1,2,1,0,,6.86
7,SlLi4,,4.5,False,0.77,1,2,2,1,0,1,2,1,1,,5.27
8,ChLi1,,0.7,False,1.3,2,1,2,2,2,2,3,2,1,,2.0
9,ChSp1,,0.7,False,0.6,1,0,1,1,1,0,1,1,1,,1.3
,,,38.3,,,,,,,,,,,,,45.11
,Program Components,,,,Factor
,Skating Skills  ,,,,1.2,7.0,6.5,7.0,7.5,7.0,6.75,6.75,7.0,7.0,,6.93
,Transitions  ,,,,1.2,7.0,6.0,6.75,7.25,6.5,6.5,6.0,6.75,6.5,,6.57
,Performance  ,,,,1.2,7.5,6.25,7.5,7.5,7.25,7.25,6.75,7.0,7.0,,7.18
,Composition  ,,,,1.2,7.0,6.25,7.0,7.5,6.75,7.25,6.25,6.75,7.0,,6.86
,Interpretation of the Music / Timing  ,,,,1.2,7.25,6.75,7.5,7.5,7.25,7.5,6.5,7.0,7.25,,7.21
,,,,,,,,,,,,,,,,41.7
