9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Elizabet TURSYNBAEVA,KAZ,11,55.66,26.92,28.74,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,1Lz*,*,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2,CCoSp3,,3.0,False,0.5,1,1,1,1,1,1,0,1,2,,3.5
3,3S+3T,,9.57,True,-0.1,0,0,-1,0,0,0,-1,0,0,,9.47
4,StSq2,,2.6,False,0.5,1,1,1,1,1,1,0,2,1,,3.1
5,2A,,3.63,True,0.29,1,1,1,1,0,1,0,0,0,,3.92
6,FCSp4,,3.2,False,0.17,0,0,-1,1,0,1,-1,1,1,,3.37
7,LSp4,,2.7,False,0.86,1,1,2,1,2,2,2,2,2,,3.56
,,,24.7,,,,,,,,,,,,,26.92
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.5,6.25,7.5,7.25,7.5,7.5,6.25,7.25,6.75,,7.14
,Transitions  ,,,,0.8,7.0,7.0,7.75,7.0,6.75,7.5,6.25,7.0,6.75,,7.0
,Performance  ,,,,0.8,7.25,7.25,6.75,7.0,7.0,7.25,7.0,7.25,7.5,,7.14
,Composition  ,,,,0.8,7.5,7.0,7.75,7.25,7.25,7.5,6.75,7.75,7.25,,7.36
,Interpretation of the Music  ,,,,0.8,7.25,7.5,6.5,7.0,7.25,7.25,7.0,7.75,8.0,,7.29
,,,,,,,,,,,,,,,,28.74
