9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Mariah BELL,USA,4,60.92,31.01,29.91,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz+3T<,<,9.0,False,-0.8,-1,-1,-1,-1,-1,-1,-1,-2,-2,,8.2
2,LSp4,,2.7,False,1.0,2,2,2,2,2,2,3,2,2,,3.7
3,FSSp3,,2.6,False,0.43,1,1,1,1,0,1,1,1,0,,3.03
4,3F,,5.83,True,-0.2,0,0,-1,-1,0,1,0,-1,0,,5.63
5,2A,,3.63,True,0.29,1,0,1,0,1,1,1,0,0,,3.92
6,StSq2,,2.6,False,1.0,3,2,3,1,2,2,3,0,1,,3.6
7,CCoSp2,,2.5,False,0.43,1,1,1,1,1,1,-1,0,1,,2.93
,,,28.86,,,,,,,,,,,,,31.01
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.25,7.0,7.0,7.75,7.0,7.25,7.5,7.25,7.5,,7.25
,Transitions  ,,,,0.8,7.25,7.5,6.75,7.5,7.0,7.5,7.5,7.25,7.25,,7.32
,Performance  ,,,,0.8,7.5,8.0,7.0,7.5,7.25,8.0,7.75,7.75,7.75,,7.64
,Composition  ,,,,0.8,8.0,7.5,7.25,7.75,7.25,7.5,7.75,7.25,7.5,,7.5
,Interpretation of the Music  ,,,,0.8,8.0,7.75,7.5,7.75,7.5,7.5,8.0,7.25,7.75,,7.68
,,,,,,,,,,,,,,,,29.91
