9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Valentina MARCHEI / Ondrej HOTAREK,ITA,4,107.2,51.48,55.72,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2Lz,,2.1,False,-0.81,-2,-3,-2,-3,-3,-2,-3,-3,-3,,1.29
2,3TwB,,5.0,False,-1.3,-2,-2,-1,-3,-2,-2,-1,-2,-2,,3.7
3,2S+2T+SEQ,,2.08,False,-0.49,-3,-3,-2,-2,-3,-2,-3,-2,0,,1.59
4,5ALi3,,7.0,False,0.4,1,1,0,0,0,1,1,0,1,,7.4
5,3LoTh,,5.0,False,-0.7,-1,-1,-1,-2,-1,-1,0,-2,1,,4.3
6,FCCoSp4,,3.5,False,-0.13,0,-1,0,-1,-1,0,0,0,-1,,3.37
7,5RLi4,,7.5,False,0.1,0,0,0,-1,0,0,1,0,1,,7.6
8,3Li4,,4.5,False,0.36,1,1,0,0,1,1,1,0,1,,4.86
9,FiDs3,,3.2,False,0.6,1,1,1,1,0,1,1,1,-1,,3.8
10,3LzTh,,5.5,False,1.1,2,1,1,0,1,2,2,2,2,,6.6
11,ChSq1,,2.0,False,0.6,1,1,0,-1,1,1,1,1,1,,2.6
12,PCoSp4,,4.5,False,-0.13,-1,1,-1,-1,-1,0,0,0,0,,4.37
,,,51.88,,,,,,,,,,,,,51.48
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,7.0,7.25,7.0,6.75,7.0,6.75,6.75,7.25,7.0,,6.96
,Transitions  ,,,,1.6,6.75,6.75,7.0,6.5,6.5,6.75,7.25,7.0,7.0,,6.82
,Performance  ,,,,1.6,6.5,6.75,7.0,6.75,6.5,7.0,7.0,7.0,7.0,,6.86
,Composition  ,,,,1.6,7.0,7.0,7.25,6.75,6.75,7.0,7.5,7.25,7.25,,7.07
,Interpretation of the Music  ,,,,1.6,7.0,7.0,7.25,6.75,6.5,7.25,7.25,7.5,7.25,,7.11
,,,,,,,,,,,,,,,,55.72
