9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Alexandra STEPANOVA / Ivan BUKIN,RUS,23,69.07,34.84,34.23,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,SlLi4,,4.5,False,1.2,2,2,2,2,2,2,2,2,2,,5.7
2,STw4,,6.6,False,1.29,3,2,2,2,2,2,2,2,3,,7.89
3,1MB3+kpYNY,,4.4,False,0.69,1,2,2,0,1,1,1,1,1,,5.09
4,PSt2,,5.6,False,1.57,0,2,2,0,1,1,2,2,2,,7.17
5,NtMiSt3,,7.1,False,1.89,0,2,2,1,1,2,2,2,2,,8.99
,,,28.2,,,,,,,,,,,,,34.84
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.75,8.75,8.75,8.25,9.0,8.5,8.5,8.5,8.5,,8.61
,Transitions  ,,,,0.8,8.5,8.5,8.5,7.75,8.75,8.25,8.25,8.25,7.75,,8.29
,Performance  ,,,,0.8,9.0,8.75,9.0,8.5,8.75,8.75,8.5,8.5,8.25,,8.68
,Composition  ,,,,0.8,8.75,8.5,8.75,8.25,9.0,8.5,8.5,8.25,8.5,,8.54
,Interpretation of the Music / Timing  ,,,,0.8,9.0,8.75,9.0,7.75,9.25,8.5,8.75,8.5,8.25,,8.68
,,,,,,,,,,,,,,,,34.23
