9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
33,Yasmine Kimiko YAMADA,SUI,11,47.86,26.57,21.29,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T+3T,,8.6,False,-0.3,-1,0,0,0,0,-1,-1,0,-1,,8.3
2,CCoSp3,,3.0,False,0.43,1,0,1,1,1,1,0,1,1,,3.43
3,StSq2,,2.6,False,0.0,0,0,0,0,0,0,0,0,0,,2.6
4,3Lo<,<,3.96,True,-1.7,-3,-3,-2,-3,-3,-2,-2,-2,-2,,2.26
5,FCSp4,,3.2,False,0.17,0,-1,1,0,-1,1,0,1,1,,3.37
6,2A,,3.63,True,0.29,1,0,1,1,1,0,0,0,1,,3.92
7,LSp3,,2.4,False,0.29,1,0,1,0,1,0,0,1,1,,2.69
,,,27.39,,,,,,,,,,,,,26.57
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.5,5.25,5.5,5.25,5.75,5.5,5.75,5.25,5.5,,5.46
,Transitions  ,,,,0.8,4.75,5.0,5.5,5.5,5.5,5.0,5.25,4.75,5.25,,5.18
,Performance  ,,,,0.8,5.0,5.25,4.75,5.75,5.5,5.25,5.75,5.0,5.25,,5.29
,Composition  ,,,,0.8,5.0,5.0,5.75,5.75,5.75,5.0,5.5,5.0,5.5,,5.36
,Interpretation of the Music  ,,,,0.8,5.5,5.0,5.0,5.5,6.0,5.25,5.5,5.0,5.5,,5.32
,,,,,,,,,,,,,,,,21.29
