9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Wakaba HIGUCHI,JPN,23,65.87,36.84,29.03,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2A,,3.3,False,0.79,1,1,2,3,2,2,2,1,1,,4.09
2,FCSp3,,2.8,False,0.29,0,1,1,0,1,1,0,1,0,,3.09
3,CCoSp4,,3.5,False,0.5,1,1,1,1,1,1,1,1,1,,4.0
4,StSq4,,3.9,False,1.3,1,1,2,2,2,2,2,2,2,,5.2
5,3Lz+3T,,11.33,True,0.7,1,1,1,0,1,2,0,1,2,,12.03
6,3F,,5.83,True,-0.6,-1,-2,1,-2,-1,-1,0,0,-1,,5.23
7,LSp4,,2.7,False,0.5,1,2,1,1,1,1,1,1,0,,3.2
,,,33.36,,,,,,,,,,,,,36.84
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.5,7.25,7.0,7.5,8.0,8.25,7.0,6.75,7.5,,7.39
,Transitions  ,,,,0.8,7.0,7.25,6.5,6.75,7.75,7.0,6.75,6.5,7.5,,6.96
,Performance  ,,,,0.8,7.25,7.25,7.0,7.0,8.0,8.0,7.0,7.0,8.0,,7.36
,Composition  ,,,,0.8,7.0,7.5,6.75,7.0,8.0,7.5,7.0,7.0,7.5,,7.21
,Interpretation of the Music  ,,,,0.8,7.25,7.5,6.5,7.0,8.25,7.75,6.75,7.25,8.0,,7.36
,,,,,,,,,,,,,,,,29.03
