9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
17,Viveca LINDFORS,FIN,11,96.27,48.34,49.93,2.0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz+3T,,10.3,False,0.8,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,11.1
2,3S+2T,,5.7,False,0.6,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,6.3
3,3F,,5.3,False,-2.1,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,,3.2
4,FCSp4,,3.2,False,0.14,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,,3.34
5,2A,,3.3,False,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.37
6,3Lz,,6.0,False,0.9,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,6.9
7,2S,,1.43,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.43
8,CCoSp4,,3.5,False,0.71,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,4.21
9,ChSq1,,2.0,False,0.4,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,,2.4
10,StSq2,,2.6,False,-1.43,-3.0,-2.0,-3.0,-2.0,-3.0,-3.0,-3.0,-3.0,-3.0,,1.17
11,1A+1Lo+2F,,3.85,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.85
12,LSpB,,1.2,False,-0.13,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,,1.07
,,,48.38,,,,,,,,,,,,,48.34
,Program Components,,,,Factor
,Skating Skills,,,,1.6,6.5,6.5,7.0,6.75,6.25,5.75,6.25,6.75,6.25,,6.46
,Transitions,,,,1.6,5.5,6.0,6.75,6.5,5.75,5.5,5.75,6.5,6.5,,6.07
,Performance,,,,1.6,6.0,5.5,6.75,6.75,5.75,5.5,5.75,6.5,6.25,,6.07
,Composition,,,,1.6,5.75,6.25,7.0,6.75,6.0,6.25,6.0,6.5,6.5,,6.32
,Interpretation of the Music,,,,1.6,6.25,6.0,7.25,6.75,5.75,6.0,5.75,6.75,6.5,,6.29
,,,,,,,,,,,,,,,,49.93
Deduction,Deductions Falls,-2.0
