9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
24,Pernille SORENSEN,DEN,10,45.76,25.71,20.05,0.0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lo,,5.1,False,-0.3,-2.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,,4.8
2,3T+2T,,5.6,False,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,5.8
3,LSp3,,2.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.4
4,2A,,3.63,True,0.29,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,3.92
5,FSSp2,,2.3,False,-0.04,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.26
6,StSq2,,2.6,False,0.14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,2.74
7,CCoSp4,,3.5,False,0.29,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,3.79
,,,25.13,,,,,,,,,,,,,25.71
,Program Components,,,,Factor
,Skating Skills,,,,0.8,4.75,4.75,5.25,5.0,5.0,6.0,5.5,5.25,5.5,,5.18
,Transitions,,,,0.8,4.0,4.25,5.25,4.5,4.5,5.0,4.5,4.75,5.0,,4.64
,Performance,,,,0.8,4.5,5.0,5.5,5.0,5.0,5.5,5.25,5.75,5.0,,5.18
,Composition,,,,0.8,4.5,5.0,5.25,4.75,4.75,5.75,4.75,5.5,5.25,,5.04
,Interpretation of the Music,,,,0.8,4.75,4.5,5.5,4.75,4.25,5.5,5.25,5.5,5.0,,5.04
,,,,,,,,,,,,,,,,20.05
