9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Misha GE,UZB,17,166.69,83.63,83.06,0.0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A+1Lo+3S,,13.4,False,1.57,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,,14.97
2,3A,,8.5,False,-0.86,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,7.64
3,3F,,5.3,False,0.6,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,,5.9
4,CCSp3,,2.8,False,0.43,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,,3.23
5,StSq4,,3.9,False,1.2,2.0,2.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,,5.1
6,FSSp2,,2.3,False,0.43,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,,2.73
7,3Lz+3T,,11.33,True,0.8,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,,12.13
8,3Lz,,6.6,True,0.6,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,,7.2
9,3Lo,,5.61,True,0.9,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,6.51
10,2A+2T,,5.06,True,0.29,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,5.35
11,2A,,3.63,True,0.57,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,,4.2
12,ChSq1,,2.0,False,2.1,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,4.1
13,CCoSp4,,3.5,False,1.07,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,4.57
,,,73.93,,,,,,,,,,,,,83.63
,Program Components,,,,Factor
,Skating Skills,,,,2.0,8.25,8.25,8.0,8.5,8.0,7.25,8.75,7.75,8.5,,8.18
,Transitions,,,,2.0,8.0,8.25,7.75,8.0,8.0,7.5,8.75,7.0,8.25,,7.96
,Performance,,,,2.0,8.5,8.5,8.5,8.25,8.5,8.25,9.5,7.75,8.5,,8.43
,Composition,,,,2.0,8.75,8.75,8.0,8.25,8.25,8.0,9.5,7.5,8.75,,8.39
,Interpretation of the Music,,,,2.0,8.75,8.75,8.5,8.25,8.5,8.5,9.25,8.25,8.75,,8.57
,,,,,,,,,,,,,,,,83.06
