9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Jason BROWN,USA,28,89.78,44.81,44.97,0.0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.5,False,-1.86,-1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,,6.64
2,3F+3T,,9.6,False,1.5,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,11.1
3,FCSp4,,3.2,False,1.43,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,,4.63
4,CSSp4,,3.0,False,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,,4.0
5,3Lz,,6.6,True,1.5,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,,8.1
6,StSq4,,3.9,False,1.8,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,,5.7
7,CCoSp4,,3.5,False,1.14,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,,4.64
,,,38.3,,,,,,,,,,,,,44.81
,Program Components,,,,Factor
,Skating Skills,,,,1.0,8.5,8.75,8.75,8.75,8.5,9.25,9.25,9.0,8.75,,8.82
,Transitions,,,,1.0,8.75,9.25,9.0,8.75,8.25,9.5,8.75,8.75,8.75,,8.86
,Performance,,,,1.0,9.0,8.75,9.0,9.25,8.25,9.75,9.25,9.0,9.25,,9.07
,Composition,,,,1.0,9.25,9.0,9.0,9.0,8.5,9.75,9.0,9.0,9.0,,9.04
,Interpretation of the Music,,,,1.0,9.25,9.25,9.25,9.0,8.5,9.75,9.25,9.0,9.25,,9.18
,,,,,,,,,,,,,,,,44.97
