9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Ziquan ZHAO,CHN,1,50.39,26.68,24.71,1.0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T+3T<,<,7.3,False,-2.1,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,,5.2
2,3Lo,,5.1,False,0.7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.8
3,FCSp4,,3.2,False,0.36,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,3.56
4,2A<,<,2.53,True,-0.5,-1.0,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,,2.03
5,CCoSp4,,3.5,False,0.36,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,3.86
6,StSq2,,2.6,False,0.14,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,2.74
7,LSp4,,2.7,False,0.79,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,,3.49
,,,26.93,,,,,,,,,,,,,26.68
,Program Components,,,,Factor
,Skating Skills,,,,0.8,5.75,6.0,6.5,6.0,7.25,5.75,6.25,7.0,6.25,,6.25
,Transitions,,,,0.8,5.0,5.75,6.25,5.75,6.75,6.0,5.75,6.75,5.75,,6.0
,Performance,,,,0.8,5.5,6.0,6.25,6.0,7.0,5.75,6.25,7.25,5.75,,6.14
,Composition,,,,0.8,5.5,6.0,6.5,6.0,7.0,6.5,6.0,7.0,6.25,,6.32
,Interpretation of the Music,,,,0.8,5.0,6.25,6.25,5.75,6.75,6.25,6.0,7.25,6.0,,6.18
,,,,,,,,,,,,,,,,24.71
Deduction,Deductions Falls,-1.0
