Grand Prix Final 2017 Senior and Junior,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
1 Aljona SAVCHENKO / Bruno MASSOT GER 6 157.25 80.23 77.02,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 3Tw3 6.20 2.10 3 3 3 3 3 3 3 3 3,,8.30
2 3LzTh 5.50 1.70 2 2 1 3 2 3 3 3 2,,7.20
3 3S+2T+2T 7.00 1.40 2 2 2 2 2 2 2 2 1,,8.40
4 3T 4.30 1.20 1 2 2 2 1 2 2 2 1,,5.50
5 3STh 4.50 0.90 1 1 2 1 0 2 2 2 0,,5.40
6 5RLi4 7.50 1.90 2 2 3 3 3 3 3 3 2,,9.40
7 3Li4 4.50 1.43 3 2 3 3 3 3 3 3 2,,5.93
8 CCoSp4 3.50 1.29 3 2 3 3 2 3 3 2 2,,4.79
9 PCoSp4 4.50 1.21 3 2 2 3 2 3 3 2 2,,5.71
10 ChSq1 2.00 1.80 3 2 2 3 2 3 3 3 2,,3.80
11 BoDs4 4.50 1.80 3 2 2 3 3 3 3 2 2,,6.30
12 5ALi4 7.50 2.00 3 2 3 3 3 3 3 3 2,,9.50
61.50,,80.23
Program Components Factor,,
Skating Skills 1.60 9.25 9.50 9.50 9.50 9.25 9.50 9.75 9.75 9.25,,9.46
Transitions 1.60 9.50 9.25 9.50 9.75 9.50 9.75 9.50 9.75 9.00,,9.54
Performance 1.60 9.50 9.75 9.75 10.00 10.00 10.00 10.00 9.75 9.25,,9.82
Composition 1.60 9.50 9.50 9.75 9.75 9.50 9.75 9.75 9.75 9.00,,9.64
Interpretation of the Music 1.60 9.75 9.50 9.75 9.50 9.75 9.75 10.00 9.75 9.25,,9.68
Judges Total Program Components Score (factored),,77.02
Deductions:,,0.00
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
2 Wenjing SUI / Cong HAN CHN 4 155.07 79.24 75.83,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 4Tw2 8.00 1.29 1 1 1 2 1 -2 2 2 1,,9.29
2 3T+2T+2T 6.90 1.30 2 2 2 2 1 1 2 2 2,,8.20
3 3S 4.40 -0.70 -1 -1 -1 -1 -1 -2 0 -1 -1,,3.70
4 BoDs4 4.50 1.40 2 2 2 2 1 2 3 2 2,,5.90
5 5RLi4 7.50 1.90 3 2 3 3 2 3 3 2 3,,9.40
6 FCCoSp4 3.50 1.07 2 1 2 3 2 2 2 2 3,,4.57
7 3FTh 5.50 2.10 3 2 3 3 3 3 3 3 3,,7.60
8 3STh 4.50 2.00 3 3 3 3 2 3 3 2 3,,6.50
9 ChSq1 2.00 1.60 2 2 2 3 2 2 3 2 3,,3.60
10 PCoSp4 4.50 1.14 3 2 2 3 2 2 2 2 3,,5.64
11 5ALi4 7.50 1.70 3 2 2 2 2 3 3 2 3,,9.20
12 3Li4 4.50 1.14 3 1 1 3 2 3 2 2 3,,5.64
63.30,,79.24
Program Components Factor,,
Skating Skills 1.60 9.50 9.50 9.50 9.50 9.00 9.25 9.50 9.25 9.50,,9.43
Transitions 1.60 9.50 9.00 9.25 9.50 9.25 9.00 9.75 9.25 9.50,,9.32
Performance 1.60 9.75 9.25 9.50 9.75 9.50 9.25 9.75 9.50 9.75,,9.57
Composition 1.60 9.50 9.25 9.50 9.75 9.25 9.50 10.00 9.50 9.75,,9.54
Interpretation of the Music 1.60 9.50 9.50 9.25 9.75 9.50 9.25 9.75 9.50 10.00,,9.54
Judges Total Program Components Score (factored),,75.83
Deductions:,,0.00
Grand Prix Final 2017 Senior and Junior,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
3 Meagan DUHAMEL / Eric RADFORD CAN 3 138.65 69.02 70.63,,1.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 3Tw2 5.80 1.20 2 1 2 2 2 1 2 2 1,,7.00
2 3Lz 6.00 0.30 1 0 1 1 0 0 0 1 0,,6.30
3 4STh 8.20 -3.00 -3 -3 -3 -3 -3 -3 -3 -3 -3,,5.20
4 FCCoSp4 3.50 0.50 1 0 1 3 1 1 1 1 1,,4.00
5 3S+2T+1T<< << 5.70 -1.60 -3 -2 -2 -2 -1 -2 -2 -3 -3,,4.10
6 BoDs4 4.50 1.50 2 2 2 3 3 2 2 2 2,,6.00
7 5RLi4 7.50 1.70 3 2 2 3 1 3 3 2 2,,9.20
8 5ALi4 7.50 1.10 2 2 1 2 1 2 2 1 1,,8.60
9 PCoSp4 4.50 0.93 2 2 2 3 1 0 2 2 2,,5.43
10 3LzTh 5.50 1.10 2 1 1 2 1 1 2 2 2,,6.60
11 ChSq1 2.00 0.80 0 1 1 2 0 0 2 2 2,,2.80
12 3Li2 3.50 0.29 1 -1 1 0 0 2 2 1 -1,,3.79
64.20,,69.02
Program Components Factor,,
Skating Skills 1.60 9.00 8.75 8.75 9.00 8.75 9.00 9.00 9.00 8.75,,8.89
Transitions 1.60 8.75 8.50 8.75 9.25 8.50 8.50 8.75 8.75 9.00,,8.71
Performance 1.60 9.00 8.50 8.75 9.00 9.00 8.75 9.25 9.00 8.50,,8.86
Composition 1.60 9.00 8.50 9.00 9.25 8.75 8.75 8.75 9.00 8.75,,8.86
Interpretation of the Music 1.60 9.25 8.75 8.75 9.00 8.75 8.50 8.75 9.00 8.75,,8.82
Judges Total Program Components Score (factored),,70.63
Deductions: Falls:  -1.00,,-1.00
"<< Downgraded jump",,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
4 Xiaoyu YU / Hao ZHANG CHN 1 136.99 69.06 67.93,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 3S 4.40 0.50 2 1 1 1 0 0 1 0 1,,4.90
2 3Tw4 6.60 1.40 3 2 1 2 2 2 2 1 3,,8.00
3 3T+1T 4.70 -1.50 -2 -2 -2 -3 -2 -2 -3 -2 -2,,3.20
4 BoDs4 4.50 0.90 1 1 1 2 0 3 1 1 2,,5.40
5 PCoSp4 4.50 0.86 2 2 1 2 0 2 2 1 2,,5.36
6 5RLi4 7.50 1.40 2 1 1 3 2 3 3 1 2,,8.90
7 3LoTh 5.00 1.80 3 2 2 3 2 3 3 2 3,,6.80
8 3STh 4.50 1.50 3 2 2 2 2 2 2 2 3,,6.00
9 FCCoSp4 3.50 0.71 1 1 1 2 1 2 2 1 2,,4.21
10 5ALi4 7.50 1.10 2 0 2 1 1 1 2 2 3,,8.60
11 3Li3 4.00 0.79 1 1 1 2 1 2 2 2 2,,4.79
12 ChSq1 2.00 0.90 1 1 1 1 0 2 2 1 3,,2.90
58.70,,69.06
Program Components Factor,,
Skating Skills 1.60 8.50 8.50 8.50 8.25 8.25 8.75 8.75 8.50 8.75,,8.54
Transitions 1.60 8.25 8.25 8.25 8.50 8.00 8.75 8.50 8.25 8.75,,8.39
Performance 1.60 8.50 8.25 8.50 8.50 8.50 8.50 8.75 8.25 9.25,,8.50
