ISU GP Internationaux de France de Patinage 2017,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
1 Kaetlyn OSMOND CAN  11  69.05,34.35,34.70,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 Info",J6 J7,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 3F+2T  6.60  0.40 0 1 1 -1 0,2 1,1 0,7.00,
2 3Lz  6.00 -0.60 -1 -2 0 -1 -1,1 -1,-1 -1,5.40,
3 FCSp4  3.20  1.07 3 2 2 1 3,2 2,2 2,4.27,
4 2A  3.63 x  1.00 2 2 2 2 2,2 2,2 2,4.63,
5 LSp4  2.70  0.86 2 2 2 1 2,2 2,1 1,3.56,
6 StSq4  3.90  1.30 3 3 2 1 1,1 2,2 2,5.20,
7 CCoSp4  3.50  0.79 2 3 2 0 2,2 1,1 1,4.29,
29.53,,,34.35,
Program Components Factor,,,,
Skating Skills  0.80 9.00 9.50 8.75 8.25 8.50,8.50 8.75,8.50 8.50,8.64,
Transitions  0.80 8.75 9.50 8.50 8.00 8.25,8.50 8.50,8.25 8.00,8.39,
Performance  0.80 9.00 9.25 9.00 8.25 8.50,9.00 8.75,8.25 8.25,8.68,
Composition  0.80 9.25 9.50 8.75 8.50 8.00,8.75 9.25,8.50 8.50,8.79,
Interpretation of the Music  0.80 9.50 9.75 9.00 8.25 8.75,8.75 9.00,8.75 8.50,8.89,
Judges Total Program Component Score (factored),,,34.70,
Deductions,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
2 Maria SOTSKOVA RUS  10  67.79,35.26,32.53,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,J8 J9 Ref,,
Elements Value,,,Panel,
1 3Lz+3T  10.30  1.20 0 1 1 2 3,2 2,2 2,11.50,
2 CCoSp4  3.50  0.71 2 1 1 2 2,1 1,1 2,4.21,
3 3F  5.83 x -1.20 -2 -2 -1 -1 -2,-3 -1,-2 -2,4.63,
4 2A  3.63 x  0.57 1 1 1 1 2,1 2,1 1,4.20,
5 FCSp3  2.80  0.50 1 0 1 1 2,1 2,0 1,3.30,
6 StSq3  3.30  0.71 2 1 1 2 1,1 2,1 2,4.01,
7 LSp4  2.70  0.71 1 1 2 2 2,1 1,1 2,3.41,
32.06,,,35.26,
Program Components Factor,,,,
Skating Skills  0.80 8.25 8.50 8.25 8.50 7.50,8.00 8.00,8.00 8.50,8.21,
Transitions  0.80 7.75 8.25 7.75 8.25 7.25,8.00 7.75,7.75 8.00,7.89,
Performance  0.80 8.25 8.50 8.25 8.50 7.50,8.25 8.00,7.25 8.50,8.18,
Composition  0.80 8.25 8.50 8.00 8.50 7.25,8.00 8.25,7.50 8.50,8.14,
Interpretation of the Music  0.80 8.50 8.75 8.25 8.75 7.50,8.25 8.00,7.50 8.50,8.25,
Judges Total Program Component Score (factored),,,32.53,
Deductions,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Internationaux de France de Patinage 2017,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
3 Yuna SHIRAIWA JPN  4  66.05,36.42,29.63,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 Info",J6 J7,J8 J9 Ref,,Info
Elements Value,,,Panel,
