9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,BOBROVA Ekaterina / SOLOVIEV Dmitri,OAR,23,75.47,38.36,37.11,0.0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,STw4,,6.6,False,1.2,3,2,2,2,2,2,2,1,2,,7.8
2,NtDiSt3,,7.1,False,2.36,2,3,3,2,2,2,2,2,2,,9.46
3,1RH3+kpNYY,,4.4,False,1.03,1,2,2,1,1,2,2,2,2,,5.43
4,PSt3,,7.1,False,2.36,2,2,2,3,2,3,1,2,2,,9.46
5,RoLi4,,4.5,False,1.71,3,3,3,3,3,3,2,1,3,,6.21
,,,29.7,,,,,,,,,,,,,38.36
,Program Components,,,,Factor
,Skating Skills,,,,0.8,9.0,9.5,9.25,9.25,9.0,9.25,9.25,8.75,9.25,,9.18
,Transitions,,,,0.8,9.0,9.25,9.25,9.0,9.25,9.25,9.0,9.0,9.25,,9.14
,Performance,,,,0.8,9.25,9.5,9.5,9.5,9.5,9.5,9.5,8.75,9.5,,9.46
,Composition,,,,0.8,9.0,9.5,9.5,9.0,9.25,9.5,9.25,9.25,9.25,,9.29
,Interpretation of the Music/Timing,,,,0.8,9.25,9.25,9.25,9.25,9.5,9.5,9.5,9.0,9.25,,9.32
,,,,,,,,,,,,,,,,37.11
