9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,KOSTNER Carolina,ITA,20,139.29,63.64,75.65,0.0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz,,6.0,False,1.5,2,2,3,2,3,2,2,2,2,,7.5
2,3F,,5.3,False,-1.5,-3,-1,-3,-2,-2,-2,-2,-2,-2,,3.8
3,3Lo,,5.1,False,0.7,1,2,-1,2,0,1,1,1,1,,5.8
4,FCSp4,,3.2,False,1.0,2,2,2,2,1,2,2,2,2,,4.2
5,FCCoSp4,,3.5,False,1.0,2,2,3,2,2,2,2,2,2,,4.5
6,3T,,4.73,True,0.0,-1,0,-1,0,0,1,0,0,1,,4.73
7,2A+1Lo<+3S,<,8.91,True,-0.7,-1,-1,-2,-1,-1,-1,-1,-1,0,,8.21
8,2A,,3.63,True,0.5,1,1,2,1,1,0,1,1,1,,4.13
9,3S+2T,,6.27,True,0.6,1,1,0,1,1,1,0,1,1,,6.87
10,ChSq1,,2.0,False,1.6,2,2,3,3,2,2,3,2,2,,3.6
11,StSq4,,3.9,False,1.9,3,3,3,3,2,2,2,3,3,,5.8
12,CCoSp4,,3.5,False,1.0,2,2,3,2,2,2,1,2,2,,4.5
,,,56.04,,,,,,,,,,,,,63.64
,Program Components,,,,Factor
,Skating Skills,,,,1.6,9.25,9.5,9.75,9.5,9.5,9.5,9.5,9.5,9.25,,9.46
,Transitions,,,,1.6,9.0,9.25,9.5,9.25,9.25,9.0,9.25,9.5,9.25,,9.25
,Performance,,,,1.6,9.25,9.25,9.75,9.5,9.5,9.25,9.0,9.5,9.75,,9.43
,Composition,,,,1.6,9.5,9.75,9.75,9.25,9.75,9.25,9.75,9.5,9.5,,9.57
,Interpretation of the Music,,,,1.6,9.5,9.5,9.75,9.5,9.5,9.5,9.5,9.75,9.75,,9.57
,,,,,,,,,,,,,,,,75.65
