9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,SAKAMOTO Kaori,JPN,21,136.53,68.42,68.11,0.0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+3T,,9.6,False,1.2,1,2,2,2,2,1,2,2,1,,10.8
2,3S,,4.4,False,0.9,2,1,2,1,1,1,2,1,1,,5.3
3,StSq4,,3.9,False,1.2,1,2,2,2,2,1,3,2,1,,5.1
4,FSSp4,,3.0,False,0.64,1,1,2,1,1,2,1,1,2,,3.64
5,3Lze,e,4.62,True,-0.6,-1,-1,-1,-1,-1,1,-1,-2,0,,4.02
6,3F+2T,,7.26,True,0.7,1,1,1,1,1,1,2,1,1,,7.96
7,CCoSp4,,3.5,False,1.0,2,2,2,2,2,2,2,2,2,,4.5
8,2A+3T+2T,,9.79,True,1.4,2,2,3,2,2,2,2,1,2,,11.19
9,ChSq1,,2.0,False,1.0,1,2,3,2,1,1,2,1,1,,3.0
10,3Lo,,5.61,True,-1.4,-3,-2,-2,-2,-2,-1,-2,-2,-2,,4.21
11,2A,,3.63,True,0.57,1,1,2,1,1,2,1,1,1,,4.2
12,FCCoSp4,,3.5,False,1.0,2,2,2,2,2,2,2,2,2,,4.5
,,,60.81,,,,,,,,,,,,,68.42
,Program Components,,,,Factor
,Skating Skills,,,,1.6,8.5,8.75,9.0,8.5,8.5,8.5,8.75,8.5,8.5,,8.57
,Transitions,,,,1.6,8.25,8.5,8.5,8.25,8.0,7.75,8.5,8.5,8.5,,8.36
,Performance,,,,1.6,8.5,8.5,8.75,8.25,8.25,8.0,9.0,8.5,8.75,,8.5
,Composition,,,,1.6,8.75,8.25,8.75,8.25,8.75,8.5,9.25,8.25,8.75,,8.57
,Interpretation of the Music,,,,1.6,8.25,8.5,8.75,8.5,8.75,8.0,9.25,8.5,8.75,,8.57
,,,,,,,,,,,,,,,,68.11
