9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
21,KIM Hanul,KOR,5,54.33,29.41,24.92,0.0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz+3T<,<,9.0,False,-0.8,-1,-2,-1,-1,-1,-1,-1,-1,-2,,8.2
2,CCoSp4,,3.5,False,0.57,1,0,2,1,2,1,1,1,1,,4.07
3,FSSp4,,3.0,False,0.29,0,1,1,1,2,0,0,1,0,,3.29
4,3Lo<,<,3.96,True,-0.9,-1,-1,-1,-2,-1,-1,-2,-1,-2,,3.06
5,2A,,3.63,True,0.43,1,1,1,1,1,0,0,1,1,,4.06
6,StSq2,,2.6,False,0.43,1,1,1,0,1,0,1,1,1,,3.03
7,LSp4,,2.7,False,1.0,2,2,2,2,3,1,2,2,2,,3.7
,,,28.39,,,,,,,,,,,,,29.41
,Program Components,,,,Factor
,Skating Skills,,,,0.8,6.5,6.5,7.25,6.0,6.75,6.5,6.0,6.0,6.25,,6.36
,Transitions,,,,0.8,6.0,6.25,7.0,5.5,6.5,6.0,5.5,5.75,6.0,,6.0
,Performance,,,,0.8,6.25,6.75,7.5,5.75,6.5,6.25,5.75,6.25,6.5,,6.32
,Composition,,,,0.8,6.5,6.75,7.25,5.5,6.75,6.0,5.75,6.0,6.25,,6.29
,Interpretation of the Music,,,,0.8,6.25,6.5,7.25,5.5,6.75,6.0,5.75,6.0,6.0,,6.18
,,,,,,,,,,,,,,,,24.92
